Date,Confirmed,Recovered,Deceased
2020-03-31,1.0,0.0,0.0
2020-04-01,15.0,0.0,0.0
2020-04-02,0.0,0.0,0.0
2020-04-03,7.0,0.0,0.0
2020-04-04,3.0,0.0,0.0
2020-04-05,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0
2020-04-07,2.0,0.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,1.0,0.0,0.0
2020-04-10,0.0,0.0,1.0
2020-04-11,0.0,0.0,0.0
2020-04-12,1.0,0.0,0.0
2020-04-13,2.0,0.0,0.0
2020-04-14,1.0,0.0,0.0
2020-04-15,0.0,2.0,0.0
2020-04-16,2.0,3.0,0.0
2020-04-17,0.0,4.0,0.0
2020-04-18,0.0,3.0,0.0
2020-04-19,0.0,5.0,0.0
2020-04-20,0.0,2.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,1.0,0.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,0.0,0.0,0.0
2020-04-26,0.0,8.0,0.0
2020-04-27,0.0,0.0,0.0
2020-04-28,2.0,0.0,0.0
2020-04-29,0.0,2.0,0.0
2020-04-30,5.0,0.0,0.0
2020-05-01,0.0,4.0,0.0
2020-05-02,0.0,0.0,0.0
2020-05-03,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,2.0,0.0,0.0
2020-05-06,1.0,2.0,0.0
2020-05-07,8.0,0.0,0.0
2020-05-08,6.0,0.0,1.0
2020-05-09,2.0,0.0,0.0
2020-05-10,1.0,0.0,0.0
2020-05-11,2.0,5.0,0.0
2020-05-12,0.0,0.0,0.0
2020-05-13,15.0,0.0,0.0
2020-05-14,7.0,0.0,0.0
2020-05-15,3.0,1.0,0.0
2020-05-16,3.0,0.0,0.0
2020-05-17,8.0,1.0,0.0
2020-05-18,15.0,0.0,2.0
2020-05-19,42.0,0.0,0.0
2020-05-20,31.0,7.0,0.0
2020-05-21,22.0,6.0,0.0
2020-05-22,15.0,0.0,0.0
2020-05-23,121.0,2.0,0.0
2020-05-24,46.0,1.0,0.0
2020-05-25,156.0,5.0,0.0
2020-05-26,134.0,0.0,0.0
2020-05-27,101.0,25.0,0.0
2020-05-28,97.0,16.0,0.0
2020-05-29,177.0,22.0,0.0
2020-05-30,159.0,38.0,0.0
2020-05-31,123.0,22.0,0.0
2020-06-01,146.0,99.0,0.0
2020-06-02,74.0,53.0,0.0
2020-06-03,271.0,76.0,0.0
2020-06-04,285.0,46.0,0.0
2020-06-05,128.0,50.0,0.0
2020-06-06,230.0,79.0,0.0
2020-06-07,208.0,48.0,0.0
2020-06-08,154.0,148.0,0.0
2020-06-09,215.0,312.0,1.0
2020-06-10,235.0,152.0,1.0
2020-06-11,145.0,184.0,0.0
2020-06-12,263.0,152.0,2.0
2020-06-13,207.0,221.0,0.0
2020-06-14,218.0,155.0,0.0
2020-06-15,191.0,245.0,0.0
2020-06-16,201.0,206.0,0.0
2020-06-17,184.0,231.0,0.0
2020-06-18,209.0,206.0,1.0
2020-06-19,102.0,218.0,0.0
2020-06-20,249.0,136.0,0.0
2020-06-21,332.0,202.0,0.0
2020-06-22,267.0,161.0,0.0
2020-06-23,203.0,197.0,0.0
2020-06-24,226.0,196.0,0.0
2020-06-25,364.0,75.0,0.0
2020-06-26,273.0,214.0,0.0
2020-06-27,246.0,567.0,1.0
2020-06-28,327.0,274.0,1.0
2020-06-29,302.0,245.0,0.0
2020-06-30,613.0,314.0,1.0
2020-07-01,548.0,184.0,0.0
2020-07-02,479.0,275.0,2.0
2020-07-03,365.0,221.0,0.0
2020-07-04,1202.0,416.0,0.0
2020-07-05,735.0,690.0,0.0
2020-07-06,786.0,508.0,0.0
2020-07-07,814.0,388.0,2.0
2020-07-08,696.0,397.0,6.0
2020-07-09,568.0,421.0,5.0
2020-07-10,936.0,701.0,8.0
2020-07-11,535.0,578.0,0.0
2020-07-12,735.0,468.0,1.0
2020-07-13,1001.0,522.0,4.0
2020-07-14,859.0,757.0,6.0
2020-07-15,1088.0,715.0,2.0
2020-07-16,892.0,666.0,2.0
2020-07-17,1218.0,551.0,1.0
2020-07-18,1117.0,1060.0,2.0
2020-07-19,1018.0,858.0,4.0
2020-07-20,1093.0,1072.0,1.0
2020-07-21,1680.0,938.0,6.0
2020-07-22,972.0,1317.0,2.0
2020-07-23,1047.0,1349.0,4.0
2020-07-24,1130.0,1062.0,6.0
2020-07-25,1165.0,1294.0,1.0
2020-07-26,1142.0,985.0,2.0
2020-07-27,1348.0,1362.0,7.0
2020-07-28,1371.0,1216.0,2.0
2020-07-29,1348.0,1214.0,4.0
2020-07-30,2112.0,1248.0,2.0
2020-07-31,1862.0,1277.0,4.0
2020-08-01,1457.0,1085.0,3.0
2020-08-02,1178.0,942.0,4.0
2020-08-03,2371.0,1044.0,4.0
2020-08-04,2886.0,993.0,6.0
2020-08-05,2284.0,1471.0,6.0
2020-08-06,2372.0,1332.0,5.0
2020-08-07,2679.0,1585.0,6.0
2020-08-08,2218.0,1782.0,8.0
2020-08-09,1123.0,1734.0,5.0
2020-08-10,2900.0,1261.0,6.0
2020-08-11,2669.0,1487.0,4.0
2020-08-12,4593.0,2136.0,6.0
2020-08-13,2796.0,2174.0,8.0
2020-08-14,2706.0,2310.0,6.0
2020-08-15,1057.0,1593.0,7.0
2020-08-16,1317.0,1929.0,7.0
2020-08-17,2792.0,1519.0,8.0
2020-08-18,2534.0,1560.0,6.0
2020-08-19,2116.0,2054.0,10.0
2020-08-20,1735.0,2772.0,8.0
2020-08-21,1856.0,2476.0,6.0
2020-08-22,1560.0,2045.0,7.0
2020-08-23,1272.0,3259.0,8.0
2020-08-24,1879.0,2190.0,10.0
2020-08-25,1973.0,1724.0,8.0
2020-08-26,2179.0,2148.0,14.0
2020-08-27,2036.0,2345.0,4.0
2020-08-28,2560.0,1763.0,8.0
2020-08-29,2427.0,1440.0,3.0
2020-08-30,1980.0,1417.0,7.0
2020-08-31,3266.0,1531.0,10.0
2020-09-01,2684.0,1434.0,9.0
2020-09-02,3555.0,1834.0,8.0
2020-09-03,3054.0,1971.0,7.0
2020-09-04,2891.0,2020.0,15.0
2020-09-05,2698.0,2343.0,7.0
2020-09-06,1537.0,1763.0,8.0
2020-09-07,2785.0,2250.0,10.0
2020-09-08,2578.0,2166.0,8.0
2020-09-09,2243.0,2265.0,18.0
2020-09-10,2739.0,2197.0,18.0
2020-09-11,2534.0,2628.0,16.0
2020-09-12,2132.0,2553.0,23.0
2020-09-13,1292.0,2251.0,16.0
2020-09-14,2403.0,1918.0,13.0
2020-09-15,2409.0,1848.0,10.0
2020-09-16,2394.0,2464.0,19.0
2020-09-17,1380.0,2246.0,17.0
2020-09-18,2509.0,2074.0,12.0
2020-09-19,2595.0,1856.0,8.0
2020-09-20,1227.0,1795.0,14.0
2020-09-21,2640.0,1795.0,16.0
2020-09-22,2073.0,1817.0,8.0
2020-09-23,2098.0,1762.0,11.0
2020-09-24,2091.0,2432.0,11.0
2020-09-25,1792.0,1571.0,17.0
2020-09-26,1736.0,1595.0,13.0
2020-09-27,875.0,1670.0,17.0
2020-09-28,3644.0,2320.0,12.0
2020-09-29,3592.0,1702.0,13.0
2020-09-30,3590.0,1616.0,17.0
2020-10-01,1585.0,1904.0,14.0
2020-10-02,1416.0,1441.0,10.0
2020-10-03,1632.0,1813.0,14.0
2020-10-04,756.0,1351.0,14.0
2020-10-05,1518.0,1364.0,11.0
2020-10-06,1184.0,1586.0,18.0
2020-10-07,1307.0,2561.0,7.0
2020-10-08,1188.0,2198.0,9.0
2020-10-09,1019.0,2068.0,8.0
2020-10-10,971.0,1451.0,9.0
2020-10-11,396.0,1227.0,5.0
2020-10-12,1521.0,1457.0,10.0
2020-10-13,1482.0,1020.0,4.0
2020-10-14,1427.0,1013.0,4.0
2020-10-15,769.0,1263.0,9.0
2020-10-16,767.0,931.0,10.0
2020-10-17,642.0,818.0,12.0
2020-10-18,318.0,599.0,3.0
2020-10-19,698.0,1530.0,7.0
2020-10-20,666.0,1201.0,9.0
2020-10-21,701.0,1664.0,5.0
2020-10-22,508.0,1584.0,7.0
2020-10-23,427.0,2184.0,4.0
2020-10-24,258.0,2948.0,2.0
2020-10-25,204.0,2961.0,4.0
2020-10-26,215.0,2832.0,2.0
2020-10-27,403.0,2443.0,6.0
2020-10-28,448.0,1487.0,3.0
2020-10-29,398.0,1057.0,6.0
2020-10-30,380.0,1094.0,3.0
2020-10-31,336.0,1386.0,4.0
2020-11-01,166.0,730.0,1.0
2020-11-02,465.0,785.0,1.0
2020-11-03,379.0,473.0,2.0
2020-11-04,380.0,655.0,0.0
2020-11-05,313.0,761.0,0.0
2020-11-06,335.0,926.0,4.0
2020-11-07,248.0,555.0,2.0
2020-11-08,152.0,395.0,3.0
2020-11-09,328.0,508.0,4.0
2020-11-10,271.0,629.0,5.0
2020-11-11,245.0,837.0,2.0
2020-11-12,202.0,771.0,3.0
2020-11-13,233.0,642.0,1.0
2020-11-14,107.0,529.0,3.0
2020-11-15,93.0,389.0,2.0
2020-11-16,186.0,405.0,1.0
2020-11-17,242.0,357.0,2.0
2020-11-18,169.0,210.0,3.0
2020-11-19,175.0,267.0,0.0
2020-11-20,164.0,151.0,2.0
2020-11-21,223.0,193.0,2.0
2020-11-22,86.0,175.0,1.0
2020-11-23,169.0,131.0,1.0
2020-11-24,157.0,121.0,1.0
2020-11-25,182.0,117.0,2.0
2020-11-26,150.0,142.0,0.0
2020-11-27,149.0,160.0,2.0
2020-11-28,163.0,122.0,0.0
2020-11-29,134.0,96.0,1.0
2020-11-30,159.0,110.0,0.0
2020-12-01,222.0,135.0,0.0
2020-12-02,173.0,138.0,2.0
2020-12-03,165.0,177.0,2.0
2020-12-04,169.0,121.0,2.0
2020-12-05,157.0,163.0,2.0
2020-12-06,97.0,84.0,4.0
2020-12-07,166.0,131.0,2.0
2020-12-08,94.0,102.0,2.0
2020-12-09,146.0,178.0,1.0
2020-12-10,140.0,165.0,1.0
2020-12-11,127.0,149.0,1.0
2020-12-12,152.0,118.0,0.0
2020-12-13,73.0,117.0,2.0
2020-12-14,146.0,125.0,1.0
2020-12-15,142.0,102.0,1.0
2020-12-16,97.0,90.0,3.0
2020-12-17,106.0,124.0,3.0
2020-12-18,102.0,85.0,1.0
2020-12-19,96.0,108.0,1.0
2020-12-20,63.0,64.0,5.0
2020-12-21,101.0,93.0,3.0
2020-12-22,75.0,113.0,4.0
2020-12-23,95.0,103.0,5.0
2020-12-24,95.0,105.0,4.0
2020-12-25,61.0,95.0,0.0
2020-12-26,74.0,105.0,2.0
2020-12-27,29.0,60.0,2.0
2020-12-28,58.0,90.0,1.0
2020-12-29,66.0,87.0,2.0
2020-12-30,76.0,115.0,3.0
2020-12-31,72.0,72.0,2.0
2021-01-01,40.0,82.0,4.0
2021-01-02,38.0,80.0,2.0
2021-01-03,15.0,60.0,1.0
2021-01-04,36.0,67.0,2.0
2021-01-05,41.0,50.0,3.0
2021-01-06,43.0,79.0,0.0
2021-01-07,57.0,48.0,2.0
2021-01-08,50.0,54.0,0.0
2021-01-09,34.0,56.0,1.0
2021-01-10,25.0,29.0,1.0
2021-01-11,45.0,64.0,3.0
2021-01-12,55.0,56.0,0.0
2021-01-13,53.0,40.0,1.0
2021-01-14,19.0,31.0,0.0
2021-01-15,15.0,42.0,1.0
2021-01-16,32.0,61.0,4.0
2021-01-17,22.0,30.0,3.0
2021-01-18,33.0,139.0,2.0
2021-01-19,23.0,106.0,0.0
2021-01-20,32.0,98.0,2.0
2021-01-21,21.0,116.0,0.0
2021-01-22,17.0,103.0,0.0
2021-01-23,19.0,94.0,0.0
2021-01-24,16.0,99.0,1.0
