Date,Confirmed,Recovered,Deceased
2020-03-22,2.0,0.0,0.0
2020-03-23,1.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,1.0,0.0,0.0
2020-03-26,3.0,0.0,0.0
2020-03-27,2.0,0.0,0.0
2020-03-28,2.0,0.0,0.0
2020-03-29,4.0,0.0,1.0
2020-03-30,0.0,0.0,0.0
2020-03-31,6.0,0.0,0.0
2020-04-01,3.0,0.0,0.0
2020-04-02,5.0,3.0,0.0
2020-04-03,2.0,0.0,0.0
2020-04-04,1.0,0.0,0.0
2020-04-05,0.0,0.0,0.0
2020-04-06,0.0,6.0,0.0
2020-04-07,6.0,6.0,0.0
2020-04-08,1.0,0.0,0.0
2020-04-09,19.0,0.0,0.0
2020-04-10,2.0,0.0,0.0
2020-04-11,4.0,0.0,0.0
2020-04-12,0.0,11.0,0.0
2020-04-13,2.0,2.0,0.0
2020-04-14,0.0,1.0,0.0
2020-04-15,6.0,0.0,0.0
2020-04-16,11.0,8.0,0.0
2020-04-17,2.0,0.0,0.0
2020-04-18,1.0,5.0,1.0
2020-04-19,10.0,0.0,0.0
2020-04-20,17.0,0.0,0.0
2020-04-21,13.0,0.0,0.0
2020-04-22,17.0,0.0,0.0
2020-04-23,27.0,2.0,0.0
2020-04-24,53.0,0.0,0.0
2020-04-25,28.0,1.0,0.0
2020-04-26,26.0,11.0,0.0
2020-04-27,69.0,0.0,0.0
2020-04-28,20.0,8.0,0.0
2020-04-29,37.0,0.0,0.0
2020-04-30,22.0,20.0,0.0
2020-05-01,41.0,14.0,1.0
2020-05-02,15.0,19.0,1.0
2020-05-03,36.0,7.0,0.0
2020-05-04,11.0,3.0,0.0
2020-05-05,7.0,31.0,0.0
2020-05-06,7.0,0.0,0.0
2020-05-07,8.0,60.0,1.0
2020-05-08,29.0,49.0,0.0
2020-05-09,32.0,51.0,0.0
2020-05-10,96.0,36.0,1.0
2020-05-11,42.0,23.0,0.0
2020-05-12,130.0,5.0,0.0
2020-05-13,74.0,18.0,1.0
2020-05-14,46.0,12.0,0.0
2020-05-15,34.0,28.0,0.0
2020-05-16,145.0,33.0,1.0
2020-05-17,142.0,0.0,0.0
2020-05-18,103.0,44.0,1.0
2020-05-19,96.0,0.0,0.0
2020-05-20,257.0,54.0,0.0
2020-05-21,211.0,0.0,0.0
2020-05-22,179.0,58.0,2.0
2020-05-23,228.0,24.0,0.0
2020-05-24,180.0,49.0,0.0
2020-05-25,163.0,31.0,2.0
2020-05-26,231.0,67.0,1.0
2020-05-27,68.0,118.0,1.0
2020-05-28,149.0,132.0,0.0
2020-05-29,174.0,159.0,0.0
2020-05-30,206.0,102.0,6.0
2020-05-31,242.0,209.0,2.0
2020-06-01,138.0,221.0,0.0
2020-06-02,151.0,62.0,1.0
2020-06-03,230.0,222.0,1.0
2020-06-04,126.0,95.0,3.0
2020-06-05,146.0,113.0,1.0
2020-06-06,233.0,65.0,0.0
2020-06-07,239.0,107.0,1.0
2020-06-08,177.0,137.0,1.0
2020-06-09,208.0,228.0,2.0
2020-06-10,243.0,164.0,1.0
2020-06-11,250.0,152.0,0.0
2020-06-12,148.0,230.0,1.0
2020-06-13,193.0,370.0,0.0
2020-06-14,186.0,289.0,1.0
2020-06-15,187.0,251.0,2.0
2020-06-16,148.0,345.0,1.0
2020-06-17,130.0,205.0,0.0
2020-06-18,100.0,185.0,5.0
2020-06-19,250.0,137.0,5.0
2020-06-20,213.0,269.0,0.0
2020-06-21,162.0,264.0,2.0
2020-06-22,228.0,136.0,1.0
2020-06-23,157.0,260.0,2.0
2020-06-24,223.0,79.0,1.0
2020-06-25,215.0,374.0,1.0
2020-06-26,190.0,189.0,0.0
2020-06-27,302.0,261.0,2.0
2020-06-28,244.0,226.0,4.0
2020-06-29,394.0,218.0,1.0
2020-06-30,369.0,170.0,5.0
2020-07-01,217.0,267.0,5.0
2020-07-02,478.0,183.0,5.0
2020-07-03,426.0,217.0,6.0
2020-07-04,349.0,277.0,4.0
2020-07-05,403.0,277.0,2.0
2020-07-06,280.0,249.0,7.0
2020-07-07,388.0,324.0,1.0
2020-07-08,749.0,203.0,2.0
2020-07-09,704.0,251.0,9.0
2020-07-10,352.0,459.0,2.0
2020-07-11,706.0,740.0,7.0
2020-07-12,1266.0,962.0,7.0
2020-07-13,1116.0,411.0,9.0
2020-07-14,1432.0,655.0,9.0
2020-07-15,1320.0,514.0,14.0
2020-07-16,1385.0,568.0,10.0
2020-07-17,1742.0,896.0,6.0
2020-07-18,1667.0,774.0,4.0
2020-07-19,1412.0,826.0,2.0
2020-07-20,1076.0,938.0,8.0
2020-07-21,1109.0,1206.0,11.0
2020-07-22,1502.0,1135.0,10.0
2020-07-23,1625.0,1083.0,4.0
2020-07-24,1820.0,1873.0,9.0
2020-07-25,2803.0,1688.0,11.0
2020-07-26,2605.0,1788.0,17.0
2020-07-27,2192.0,1536.0,6.0
2020-07-28,2480.0,1376.0,14.0
2020-07-29,2328.0,1284.0,4.0
2020-07-30,2082.0,1169.0,12.0
