Date,Confirmed,Recovered,Deceased
2020-03-19,1.0,0.0,0.0
2020-03-20,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,2.0,0.0,0.0
2020-03-26,3.0,0.0,0.0
2020-03-27,0.0,0.0,0.0
2020-03-28,1.0,0.0,0.0
2020-03-29,0.0,0.0,0.0
2020-03-30,1.0,0.0,0.0
2020-03-31,1.0,2.0,0.0
2020-04-01,0.0,0.0,0.0
2020-04-02,0.0,1.0,0.0
2020-04-03,0.0,0.0,0.0
2020-04-04,1.0,0.0,0.0
2020-04-05,0.0,5.0,0.0
2020-04-06,0.0,0.0,0.0
2020-04-07,0.0,1.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,8.0,0.0,0.0
2020-04-10,0.0,0.0,0.0
2020-04-11,7.0,0.0,0.0
2020-04-12,6.0,1.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,2.0,3.0,0.0
2020-04-15,0.0,4.0,0.0
2020-04-16,3.0,6.0,0.0
2020-04-17,0.0,1.0,0.0
2020-04-18,0.0,1.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,3.0,0.0
2020-04-23,0.0,2.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,1.0,2.0,0.0
2020-04-26,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0
2020-04-28,1.0,2.0,0.0
2020-04-29,0.0,0.0,0.0
2020-04-30,2.0,2.0,0.0
2020-05-01,3.0,0.0,0.0
2020-05-02,0.0,0.0,0.0
2020-05-03,14.0,0.0,0.0
2020-05-04,1.0,0.0,0.0
2020-05-05,1.0,0.0,0.0
2020-05-06,0.0,0.0,0.0
2020-05-07,0.0,0.0,0.0
2020-05-08,0.0,2.0,0.0
2020-05-09,0.0,5.0,0.0
2020-05-10,0.0,6.0,0.0
2020-05-11,0.0,4.0,0.0
2020-05-12,0.0,1.0,0.0
2020-05-13,0.0,1.0,0.0
2020-05-14,1.0,1.0,0.0
2020-05-15,6.0,0.0,0.0
2020-05-16,1.0,2.0,0.0
2020-05-17,18.0,1.0,0.0
2020-05-18,10.0,0.0,0.0
2020-05-19,5.0,0.0,0.0
2020-05-20,14.0,0.0,0.0
2020-05-21,14.0,0.0,0.0
2020-05-22,44.0,3.0,0.0
2020-05-23,42.0,2.0,0.0
2020-05-24,38.0,0.0,0.0
2020-05-25,40.0,3.0,0.0
2020-05-26,68.0,12.0,0.0
2020-05-27,4.0,4.0,0.0
2020-05-28,34.0,0.0,0.0
2020-05-29,17.0,17.0,1.0
2020-05-30,32.0,2.0,0.0
2020-05-31,51.0,12.0,0.0
2020-06-01,49.0,7.0,0.0
2020-06-02,15.0,9.0,1.0
2020-06-03,64.0,40.0,0.0
2020-06-04,147.0,36.0,0.0
2020-06-05,90.0,25.0,0.0
2020-06-06,60.0,28.0,2.0
2020-06-07,150.0,7.0,0.0
2020-06-08,124.0,69.0,0.0
2020-06-09,14.0,12.0,1.0
2020-06-10,51.0,4.0,1.0
2020-06-11,136.0,70.0,0.0
