Date,Confirmed,Recovered,Deceased
2020-03-02,1.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,1.0,0.0,0.0
2020-03-06,1.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,1.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,1.0,0.0,0.0
2020-03-12,1.0,0.0,0.0
2020-03-13,1.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,3.0,0.0,0.0
2020-03-18,1.0,0.0,0.0
2020-03-19,3.0,0.0,0.0
2020-03-20,6.0,0.0,0.0
2020-03-21,7.0,0.0,0.0
2020-03-22,1.0,0.0,0.0
2020-03-23,2.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,5.0,0.0,0.0
2020-03-26,4.0,0.0,0.0
2020-03-27,1.0,0.0,0.0
2020-03-28,9.0,0.0,0.0
2020-03-29,23.0,6.0,2.0
2020-03-30,25.0,0.0,0.0
2020-03-31,23.0,0.0,0.0
2020-04-01,32.0,0.0,0.0
2020-04-02,141.0,2.0,2.0
2020-04-03,93.0,0.0,2.0
2020-04-04,59.0,8.0,0.0
2020-04-05,58.0,0.0,1.0
2020-04-06,22.0,0.0,0.0
2020-04-07,51.0,4.0,2.0
2020-04-08,93.0,1.0,0.0
2020-04-09,51.0,4.0,3.0
2020-04-10,183.0,2.0,2.0
2020-04-11,166.0,0.0,5.0
2020-04-12,85.0,1.0,5.0
2020-04-13,356.0,3.0,4.0
2020-04-14,51.0,0.0,2.0
2020-04-15,17.0,10.0,2.0
2020-04-16,62.0,11.0,6.0
2020-04-17,67.0,20.0,4.0
2020-04-18,186.0,135.0,1.0
2020-04-19,110.0,83.0,2.0
2020-04-20,78.0,141.0,2.0
2020-04-21,75.0,180.0,0.0
2020-04-22,92.0,113.0,1.0
2020-04-23,128.0,84.0,2.0
2020-04-24,138.0,49.0,3.0
2020-04-25,111.0,12.0,1.0
2020-04-26,293.0,8.0,0.0
2020-04-27,190.0,0.0,0.0
2020-04-28,206.0,201.0,0.0
2020-04-29,125.0,14.0,2.0
2020-04-30,76.0,2.0,3.0
2020-05-01,223.0,73.0,2.0
2020-05-02,384.0,89.0,3.0
2020-05-03,427.0,106.0,0.0
2020-05-04,349.0,69.0,0.0
2020-05-05,206.0,37.0,0.0
2020-05-06,428.0,74.0,1.0
2020-05-07,448.0,389.0,1.0
2020-05-08,338.0,89.0,2.0
2020-05-09,224.0,0.0,0.0
2020-05-10,381.0,49.0,5.0
2020-05-11,310.0,60.0,0.0
2020-05-12,406.0,383.0,13.0
2020-05-13,359.0,346.0,20.0
2020-05-14,472.0,187.0,9.0
2020-05-15,425.0,473.0,8.0
2020-05-16,438.0,408.0,6.0
2020-05-17,422.0,276.0,19.0
2020-05-18,299.0,283.0,12.0
2020-05-19,500.0,265.0,6.0
2020-05-20,534.0,442.0,10.0
2020-05-21,571.0,375.0,18.0
2020-05-22,660.0,330.0,14.0
2020-05-23,591.0,370.0,23.0
2020-05-24,508.0,273.0,30.0
2020-05-25,635.0,231.0,15.0
2020-05-26,412.0,183.0,12.0
2020-05-27,792.0,310.0,15.0
2020-05-28,1024.0,231.0,13.0
2020-05-29,1105.0,351.0,82.0
2020-05-30,1163.0,229.0,18.0
2020-05-31,1295.0,403.0,57.0
