Date,Confirmed,Recovered,Deceased
2020-03-25,3.0,0.0,0.0
2020-03-26,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0
2020-03-29,2.0,0.0,0.0
2020-03-30,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-04-02,0.0,0.0,0.0
2020-04-03,1.0,0.0,0.0
2020-04-04,1.0,0.0,0.0
2020-04-05,0.0,0.0,0.0
2020-04-06,0.0,0.0,0.0
2020-04-07,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0
2020-04-10,0.0,1.0,0.0
2020-04-11,0.0,4.0,0.0
2020-04-12,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0
2020-04-15,0.0,1.0,0.0
2020-04-16,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0
2020-04-19,0.0,1.0,0.0
2020-04-20,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,0.0,0.0,0.0
2020-04-26,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0
2020-04-28,0.0,0.0,0.0
2020-04-29,0.0,0.0,0.0
2020-04-30,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-05-02,0.0,0.0,0.0
2020-05-03,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,0.0,0.0,0.0
2020-05-06,0.0,0.0,0.0
2020-05-07,0.0,0.0,0.0
2020-05-08,0.0,0.0,0.0
2020-05-09,0.0,0.0,0.0
2020-05-10,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0
2020-05-12,0.0,0.0,0.0
2020-05-13,0.0,0.0,0.0
2020-05-14,8.0,0.0,0.0
2020-05-15,0.0,0.0,0.0
2020-05-16,5.0,0.0,0.0
2020-05-17,9.0,0.0,0.0
2020-05-18,9.0,0.0,0.0
2020-05-19,8.0,0.0,0.0
2020-05-20,4.0,0.0,0.0
2020-05-21,2.0,0.0,0.0
2020-05-22,2.0,9.0,0.0
2020-05-23,1.0,0.0,0.0
2020-05-24,11.0,0.0,0.0
2020-05-25,1.0,3.0,0.0
2020-05-26,0.0,9.0,0.0
2020-05-27,1.0,9.0,0.0
2020-05-28,1.0,1.0,0.0
2020-05-29,0.0,3.0,0.0
2020-05-30,1.0,1.0,0.0
2020-05-31,1.0,2.0,0.0
2020-06-01,2.0,6.0,0.0
2020-06-02,6.0,7.0,0.0
2020-06-03,47.0,0.0,0.0
2020-06-04,40.0,0.0,0.0
2020-06-05,30.0,8.0,0.0
2020-06-06,71.0,0.0,0.0
2020-06-07,33.0,0.0,0.0
2020-06-08,30.0,2.0,0.0
2020-06-09,29.0,0.0,0.0
2020-06-10,28.0,0.0,0.0
2020-06-11,30.0,0.0,0.0
2020-06-12,46.0,2.0,0.0
2020-06-13,60.0,1.0,0.0
2020-06-14,41.0,4.0,0.0
2020-06-15,28.0,11.0,0.0
2020-06-16,37.0,0.0,0.0
2020-06-17,27.0,11.0,0.0
2020-06-18,49.0,13.0,0.0
2020-06-19,20.0,9.0,0.0
2020-06-20,29.0,11.0,0.0
2020-06-21,64.0,6.0,0.0
2020-06-22,46.0,17.0,1.0
2020-06-23,45.0,53.0,1.0
2020-06-24,42.0,84.0,0.0
2020-06-25,44.0,46.0,0.0
2020-06-26,44.0,35.0,0.0
2020-06-27,89.0,50.0,0.0
2020-06-28,70.0,58.0,1.0
2020-06-29,53.0,46.0,0.0
2020-06-30,64.0,72.0,0.0
2020-07-01,72.0,74.0,1.0
2020-07-02,95.0,64.0,0.0
2020-07-03,94.0,38.0,0.0
2020-07-04,108.0,53.0,2.0
2020-07-05,77.0,111.0,1.0
2020-07-06,52.0,125.0,0.0
2020-07-07,90.0,95.0,1.0
2020-07-08,136.0,51.0,0.0
2020-07-09,112.0,66.0,1.0
2020-07-10,100.0,74.0,0.0
2020-07-11,117.0,81.0,3.0
2020-07-12,85.0,59.0,2.0
2020-07-13,130.0,53.0,3.0
2020-07-14,170.0,67.0,1.0
2020-07-15,198.0,67.0,0.0
2020-07-16,157.0,143.0,1.0
2020-07-17,196.0,129.0,2.0
2020-07-18,180.0,92.0,0.0
2020-07-19,173.0,180.0,1.0
2020-07-20,196.0,143.0,1.0
2020-07-21,174.0,88.0,3.0
2020-07-22,149.0,92.0,2.0
2020-07-23,174.0,114.0,1.0
2020-07-24,190.0,210.0,0.0
2020-07-25,146.0,182.0,4.0
2020-07-26,175.0,230.0,2.0
2020-07-27,258.0,133.0,1.0
2020-07-28,168.0,185.0,0.0
2020-07-29,202.0,189.0,3.0
2020-07-30,215.0,221.0,3.0
2020-07-31,209.0,206.0,3.0
2020-08-01,280.0,227.0,3.0
2020-08-02,337.0,230.0,5.0
2020-08-03,286.0,208.0,3.0
2020-08-04,259.0,238.0,4.0
2020-08-05,348.0,173.0,4.0
2020-08-06,191.0,166.0,2.0
2020-08-07,333.0,142.0,4.0
2020-08-08,259.0,207.0,2.0
2020-08-09,506.0,193.0,3.0
2020-08-10,317.0,213.0,5.0
2020-08-11,415.0,272.0,6.0
2020-08-12,480.0,161.0,3.0
2020-08-13,570.0,271.0,2.0
2020-08-14,476.0,245.0,2.0
2020-08-15,369.0,331.0,5.0
2020-08-16,300.0,287.0,6.0
2020-08-17,355.0,283.0,7.0
2020-08-18,339.0,298.0,5.0
2020-08-19,342.0,357.0,8.0
2020-08-20,424.0,350.0,2.0
2020-08-21,385.0,477.0,9.0
2020-08-22,306.0,479.0,5.0
2020-08-23,209.0,453.0,4.0
2020-08-24,139.0,437.0,4.0
2020-08-25,392.0,315.0,9.0
2020-08-26,497.0,287.0,8.0
2020-08-27,456.0,356.0,6.0
2020-08-28,523.0,429.0,4.0
2020-08-29,547.0,433.0,3.0
2020-08-30,451.0,457.0,5.0
2020-08-31,414.0,391.0,9.0
2020-09-01,588.0,273.0,2.0
2020-09-02,636.0,209.0,10.0
2020-09-03,713.0,302.0,8.0
2020-09-04,508.0,386.0,8.0
2020-09-05,592.0,534.0,9.0
