Date,Confirmed,Recovered,Deceased
2020-03-19,2.0,0.0,0.0
2020-03-20,5.0,0.0,0.0
2020-03-21,7.0,0.0,0.0
2020-03-22,4.0,0.0,0.0
2020-03-23,12.0,0.0,0.0
2020-03-24,6.0,0.0,0.0
2020-03-25,2.0,0.0,0.0
2020-03-26,6.0,0.0,0.0
2020-03-27,3.0,0.0,0.0
2020-03-28,8.0,0.0,0.0
2020-03-29,8.0,1.0,5.0
2020-03-30,7.0,2.0,1.0
2020-03-31,4.0,2.0,0.0
2020-04-01,13.0,0.0,0.0
2020-04-02,1.0,5.0,1.0
2020-04-03,7.0,0.0,2.0
2020-04-04,13.0,3.0,1.0
2020-04-05,20.0,8.0,1.0
2020-04-06,18.0,1.0,1.0
2020-04-07,29.0,3.0,2.0
2020-04-08,11.0,0.0,2.0
2020-04-09,76.0,1.0,2.0
2020-04-10,116.0,7.0,1.0
2020-04-11,90.0,11.0,3.0
2020-04-12,48.0,0.0,2.0
2020-04-13,56.0,10.0,2.0
2020-04-14,78.0,5.0,2.0
2020-04-15,116.0,5.0,5.0
2020-04-16,163.0,9.0,3.0
2020-04-17,170.0,13.0,5.0
2020-04-18,277.0,7.0,12.0
2020-04-19,367.0,12.0,10.0
2020-04-20,196.0,26.0,8.0
2020-04-21,239.0,8.0,19.0
2020-04-22,229.0,40.0,13.0
2020-04-23,217.0,79.0,9.0
2020-04-24,191.0,7.0,15.0
2020-04-25,256.0,17.0,6.0
2020-04-26,230.0,31.0,18.0
2020-04-27,247.0,81.0,11.0
2020-04-28,226.0,40.0,19.0
2020-04-29,308.0,93.0,16.0
2020-04-30,313.0,86.0,17.0
2020-05-01,326.0,123.0,22.0
2020-05-02,333.0,160.0,26.0
2020-05-03,374.0,146.0,28.0
2020-05-04,376.0,153.0,29.0
2020-05-05,441.0,186.0,49.0
2020-05-06,380.0,119.0,28.0
2020-05-07,388.0,209.0,29.0
2020-05-08,390.0,163.0,24.0
2020-05-09,394.0,219.0,23.0
2020-05-10,398.0,454.0,21.0
2020-05-11,347.0,235.0,20.0
2020-05-12,362.0,466.0,24.0
2020-05-13,364.0,316.0,29.0
2020-05-14,324.0,191.0,20.0
2020-05-15,340.0,282.0,20.0
2020-05-16,1057.0,273.0,19.0
2020-05-17,391.0,191.0,34.0
2020-05-18,366.0,305.0,35.0
2020-05-19,395.0,239.0,25.0
2020-05-20,398.0,176.0,30.0
2020-05-21,371.0,269.0,24.0
2020-05-22,363.0,392.0,29.0
2020-05-23,396.0,289.0,27.0
2020-05-24,394.0,243.0,29.0
2020-05-25,405.0,224.0,30.0
2020-05-26,361.0,501.0,27.0
2020-05-27,376.0,410.0,23.0
2020-05-28,367.0,454.0,22.0
2020-05-29,372.0,608.0,20.0
2020-05-30,412.0,621.0,27.0
2020-05-31,438.0,689.0,31.0
2020-06-01,423.0,861.0,25.0
2020-06-02,415.0,1114.0,29.0
2020-06-03,485.0,318.0,30.0
2020-06-04,492.0,455.0,33.0
2020-06-05,510.0,344.0,35.0
2020-06-06,498.0,313.0,29.0
2020-06-07,480.0,319.0,30.0
2020-06-08,477.0,321.0,31.0
2020-06-09,470.0,409.0,33.0
2020-06-10,510.0,370.0,34.0
2020-06-11,513.0,366.0,38.0
2020-06-12,495.0,392.0,31.0
2020-06-13,517.0,390.0,33.0
2020-06-14,511.0,442.0,29.0
2020-06-15,514.0,339.0,28.0
2020-06-16,524.0,418.0,28.0
2020-06-17,520.0,348.0,27.0
2020-06-18,510.0,389.0,31.0
2020-06-19,540.0,340.0,27.0
2020-06-20,539.0,535.0,20.0
2020-06-21,580.0,655.0,25.0
2020-06-22,563.0,560.0,21.0
2020-06-23,549.0,604.0,26.0
2020-06-24,572.0,575.0,25.0
2020-06-25,577.0,410.0,18.0
2020-06-26,580.0,532.0,18.0
2020-06-27,615.0,379.0,18.0
2020-06-28,624.0,391.0,19.0
2020-06-29,626.0,440.0,19.0
2020-06-30,620.0,422.0,20.0
2020-07-01,675.0,368.0,21.0
2020-07-02,681.0,563.0,19.0
2020-07-03,687.0,340.0,18.0
2020-07-04,712.0,473.0,21.0
2020-07-05,725.0,486.0,18.0
2020-07-06,735.0,423.0,17.0
2020-07-07,778.0,421.0,17.0
2020-07-08,783.0,569.0,16.0
2020-07-09,861.0,429.0,15.0
2020-07-10,875.0,441.0,14.0
2020-07-11,872.0,502.0,10.0
2020-07-12,879.0,513.0,13.0
2020-07-13,902.0,608.0,10.0
2020-07-14,915.0,749.0,14.0
2020-07-15,925.0,791.0,10.0
2020-07-16,919.0,828.0,10.0
2020-07-17,949.0,770.0,17.0
2020-07-18,960.0,1061.0,19.0
2020-07-19,965.0,877.0,20.0
2020-07-20,998.0,777.0,20.0
2020-07-21,1026.0,744.0,34.0
2020-07-22,1020.0,837.0,28.0
2020-07-23,1078.0,718.0,28.0
2020-07-24,1068.0,872.0,26.0
2020-07-25,1081.0,782.0,22.0
2020-07-26,1110.0,753.0,21.0
2020-07-27,1052.0,1015.0,22.0
2020-07-28,1108.0,1032.0,24.0
2020-07-29,1144.0,783.0,24.0
2020-07-30,1159.0,879.0,22.0
2020-07-31,1153.0,833.0,23.0
2020-08-01,1136.0,875.0,24.0
2020-08-02,1101.0,805.0,22.0
2020-08-03,1009.0,974.0,22.0
2020-08-04,1020.0,898.0,25.0
2020-08-05,1073.0,1046.0,23.0
2020-08-06,1034.0,917.0,27.0
2020-08-07,1074.0,1370.0,22.0
2020-08-08,1101.0,1135.0,23.0
2020-08-09,1078.0,1311.0,25.0
2020-08-10,1056.0,1138.0,20.0
2020-08-11,1118.0,1140.0,23.0
2020-08-12,1152.0,977.0,18.0
2020-08-13,1092.0,1046.0,18.0
2020-08-14,1087.0,1083.0,15.0
2020-08-15,1094.0,1015.0,19.0
2020-08-16,1120.0,959.0,20.0
2020-08-17,1033.0,1083.0,15.0
2020-08-18,1126.0,1131.0,20.0
2020-08-19,1145.0,1120.0,17.0
2020-08-20,1175.0,1123.0,16.0
2020-08-21,1204.0,1324.0,14.0
2020-08-22,1212.0,980.0,14.0
2020-08-23,1101.0,972.0,14.0
2020-08-24,1067.0,1021.0,13.0
