Date,Confirmed,Recovered,Deceased
2020-03-04,14.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,1.0,0.0,0.0
2020-03-18,2.0,0.0,0.0
2020-03-19,0.0,0.0,0.0
2020-03-20,2.0,0.0,0.0
2020-03-21,2.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,7.0,0.0,0.0
2020-03-24,2.0,0.0,0.0
2020-03-25,1.0,0.0,0.0
2020-03-26,1.0,0.0,0.0
2020-03-27,1.0,0.0,0.0
2020-03-28,2.0,0.0,0.0
2020-03-29,0.0,14.0,0.0
2020-03-30,1.0,6.0,0.0
2020-03-31,7.0,4.0,0.0
2020-04-01,0.0,3.0,0.0
2020-04-02,6.0,0.0,0.0
2020-04-03,9.0,1.0,0.0
2020-04-04,26.0,1.0,0.0
2020-04-05,6.0,0.0,0.0
2020-04-06,20.0,0.0,2.0
2020-04-07,33.0,2.0,0.0
2020-04-08,24.0,1.0,0.0
2020-04-09,3.0,0.0,0.0
2020-04-10,6.0,4.0,0.0
2020-04-11,3.0,0.0,0.0
2020-04-12,16.0,8.0,1.0
2020-04-13,1.0,7.0,0.0
2020-04-14,2.0,4.0,0.0
2020-04-15,6.0,2.0,0.0
2020-04-16,11.0,8.0,0.0
2020-04-17,8.0,21.0,0.0
2020-04-18,9.0,14.0,0.0
2020-04-19,18.0,4.0,0.0
2020-04-20,1.0,37.0,0.0
2020-04-21,4.0,6.0,0.0
2020-04-22,9.0,11.0,0.0
2020-04-23,6.0,12.0,0.0
2020-04-24,5.0,16.0,0.0
2020-04-25,12.0,5.0,0.0
2020-04-26,9.0,8.0,0.0
2020-04-27,5.0,14.0,0.0
2020-04-28,7.0,11.0,0.0
2020-04-29,3.0,1.0,0.0
2020-04-30,28.0,10.0,1.0
2020-05-01,18.0,6.0,0.0
2020-05-02,19.0,1.0,1.0
2020-05-03,66.0,3.0,0.0
2020-05-04,75.0,9.0,1.0
2020-05-05,31.0,2.0,0.0
