Date,Confirmed,Recovered,Deceased
2020-03-09,1.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,1.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,1.0,0.0,0.0
2020-03-19,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,2.0,0.0,0.0
2020-03-25,5.0,0.0,0.0
2020-03-26,3.0,0.0,0.0
2020-03-27,6.0,0.0,0.0
2020-03-28,13.0,0.0,0.0
2020-03-29,5.0,1.0,1.0
2020-03-30,11.0,0.0,0.0
2020-03-31,6.0,0.0,1.0
2020-04-01,7.0,1.0,0.0
2020-04-02,8.0,1.0,0.0
2020-04-03,5.0,0.0,0.0
2020-04-04,17.0,0.0,0.0
2020-04-05,14.0,1.0,0.0
2020-04-06,3.0,0.0,0.0
2020-04-07,16.0,0.0,1.0
2020-04-08,33.0,2.0,0.0
2020-04-09,26.0,0.0,1.0
2020-04-10,23.0,0.0,0.0
2020-04-11,17.0,0.0,0.0
2020-04-12,21.0,0.0,0.0
2020-04-13,25.0,10.0,0.0
2020-04-14,8.0,14.0,0.0
2020-04-15,22.0,6.0,0.0
2020-04-16,14.0,2.0,0.0
2020-04-17,14.0,4.0,1.0
2020-04-18,13.0,9.0,0.0
2020-04-19,13.0,5.0,0.0
2020-04-20,14.0,15.0,0.0
2020-04-21,12.0,10.0,0.0
2020-04-22,27.0,11.0,0.0
2020-04-23,27.0,0.0,0.0
2020-04-24,20.0,17.0,0.0
2020-04-25,40.0,3.0,1.0
2020-04-26,29.0,25.0,0.0
2020-04-27,23.0,27.0,1.0
2020-04-28,19.0,12.0,1.0
2020-04-29,16.0,16.0,0.0
2020-04-30,33.0,24.0,0.0
2020-05-01,25.0,31.0,0.0
2020-05-02,27.0,7.0,0.0
2020-05-03,35.0,33.0,0.0
2020-05-04,25.0,16.0,0.0
2020-05-05,15.0,17.0,0.0
2020-05-06,34.0,2.0,0.0
2020-05-07,18.0,13.0,1.0
2020-05-08,30.0,29.0,0.0
2020-05-09,13.0,4.0,0.0
2020-05-10,25.0,15.0,0.0
2020-05-11,18.0,44.0,1.0
2020-05-12,55.0,28.0,0.0
2020-05-13,37.0,11.0,1.0
