Date,Confirmed,Recovered,Deceased
2020-03-31,1.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-04-02,1.0,0.0,0.0
2020-04-03,0.0,0.0,0.0
2020-04-04,0.0,0.0,0.0
2020-04-05,1.0,0.0,0.0
2020-04-06,1.0,0.0,0.0
2020-04-07,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,9.0,0.0,1.0
2020-04-10,1.0,0.0,0.0
2020-04-11,3.0,0.0,0.0
2020-04-12,2.0,0.0,1.0
2020-04-13,5.0,0.0,0.0
2020-04-14,3.0,0.0,0.0
2020-04-15,1.0,0.0,0.0
2020-04-16,1.0,0.0,0.0
2020-04-17,3.0,0.0,0.0
2020-04-18,1.0,0.0,0.0
2020-04-19,8.0,0.0,0.0
2020-04-20,5.0,4.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,7.0,4.0,1.0
2020-04-24,6.0,0.0,0.0
2020-04-25,8.0,0.0,0.0
2020-04-26,15.0,5.0,0.0
2020-04-27,21.0,4.0,0.0
2020-04-28,2.0,2.0,0.0
2020-04-29,2.0,0.0,0.0
2020-04-30,3.0,0.0,0.0
2020-05-01,3.0,2.0,0.0
2020-05-02,2.0,1.0,0.0
2020-05-03,0.0,5.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,10.0,6.0,0.0
2020-05-06,2.0,4.0,0.0
2020-05-07,5.0,4.0,0.0
2020-05-08,22.0,0.0,0.0
2020-05-09,2.0,37.0,0.0
2020-05-10,1.0,0.0,0.0
2020-05-11,4.0,0.0,0.0
2020-05-12,11.0,1.0,0.0
2020-05-13,5.0,8.0,0.0
2020-05-14,26.0,0.0,0.0
2020-05-15,8.0,10.0,0.0
2020-05-16,6.0,16.0,0.0
2020-05-17,6.0,0.0,0.0
2020-05-18,5.0,14.0,0.0
2020-05-19,20.0,0.0,0.0
2020-05-20,42.0,2.0,0.0
2020-05-21,13.0,7.0,0.0
2020-05-22,20.0,0.0,0.0
2020-05-23,27.0,5.0,0.0
2020-05-24,20.0,7.0,1.0
2020-05-25,35.0,0.0,0.0
2020-05-26,21.0,5.0,0.0
2020-05-27,7.0,0.0,0.0
2020-05-28,6.0,0.0,0.0
2020-05-29,82.0,63.0,1.0
2020-05-30,73.0,40.0,0.0
2020-05-31,41.0,0.0,0.0
2020-06-01,26.0,40.0,0.0
2020-06-02,61.0,0.0,0.0
2020-06-03,42.0,1.0,0.0
2020-06-04,63.0,69.0,1.0
2020-06-05,95.0,69.0,1.0
2020-06-06,106.0,38.0,0.0
2020-06-07,75.0,17.0,0.0
2020-06-08,187.0,29.0,0.0
2020-06-09,126.0,40.0,1.0
2020-06-10,135.0,33.0,0.0
2020-06-11,48.0,38.0,0.0
2020-06-12,57.0,55.0,0.0
2020-06-13,55.0,131.0,0.0
2020-06-14,52.0,89.0,0.0
2020-06-15,30.0,95.0,1.0
2020-06-16,46.0,121.0,0.0
2020-06-17,57.0,30.0,1.0
2020-06-18,23.0,47.0,1.0
2020-06-19,42.0,137.0,0.0
2020-06-20,63.0,69.0,0.0
2020-06-21,74.0,2.0,0.0
2020-06-22,42.0,63.0,0.0
2020-06-23,53.0,51.0,0.0
2020-06-24,26.0,55.0,1.0
2020-06-25,44.0,30.0,0.0
2020-06-26,31.0,42.0,0.0
2020-06-27,45.0,77.0,0.0
2020-06-28,25.0,69.0,0.0
2020-06-29,62.0,56.0,3.0
2020-06-30,64.0,35.0,0.0
2020-07-01,35.0,47.0,0.0
2020-07-02,60.0,57.0,0.0
2020-07-03,112.0,13.0,0.0
2020-07-04,42.0,34.0,3.0
2020-07-05,68.0,10.0,1.0
2020-07-06,47.0,23.0,1.0
2020-07-07,164.0,36.0,2.0
2020-07-08,116.0,66.0,0.0
2020-07-09,134.0,40.0,1.0
2020-07-10,250.0,14.0,0.0
2020-07-11,145.0,32.0,1.0
2020-07-12,97.0,52.0,7.0
2020-07-13,203.0,43.0,2.0
2020-07-14,262.0,77.0,3.0
2020-07-15,337.0,57.0,2.0
2020-07-16,221.0,28.0,4.0
2020-07-17,313.0,64.0,4.0
2020-07-18,289.0,79.0,2.0
2020-07-19,167.0,62.0,1.0
2020-07-20,225.0,117.0,4.0
2020-07-21,418.0,107.0,8.0
2020-07-22,487.0,106.0,3.0
2020-07-23,482.0,206.0,3.0
2020-07-24,400.0,100.0,9.0
2020-07-25,277.0,167.0,7.0
2020-07-26,508.0,183.0,0.0
2020-07-27,454.0,101.0,7.0
2020-07-28,760.0,179.0,4.0
2020-07-29,331.0,77.0,5.0
2020-07-30,505.0,115.0,4.0
2020-07-31,915.0,167.0,3.0
2020-08-01,790.0,170.0,8.0
2020-08-02,455.0,169.0,4.0
2020-08-03,941.0,112.0,7.0
2020-08-04,570.0,405.0,4.0
2020-08-05,978.0,627.0,7.0
2020-08-06,708.0,768.0,9.0
2020-08-07,726.0,897.0,6.0
2020-08-08,986.0,834.0,9.0
2020-08-09,688.0,673.0,17.0
2020-08-10,630.0,750.0,12.0
2020-08-11,683.0,807.0,5.0
2020-08-12,788.0,1642.0,8.0
2020-08-13,693.0,816.0,7.0
2020-08-14,1175.0,665.0,15.0
2020-08-15,547.0,503.0,5.0
2020-08-16,552.0,566.0,15.0
2020-08-17,843.0,601.0,11.0
2020-08-18,1266.0,361.0,10.0
2020-08-19,967.0,857.0,13.0
2020-08-20,638.0,754.0,8.0
2020-08-21,1258.0,1052.0,11.0
2020-08-22,907.0,814.0,13.0
2020-08-23,1075.0,950.0,8.0
2020-08-24,940.0,889.0,17.0
2020-08-25,1056.0,725.0,12.0
2020-08-26,1137.0,736.0,15.0
2020-08-27,1365.0,633.0,15.0
