Date,Confirmed,Recovered,Deceased
2021-01-18,14.0,0.0,0.0
2021-01-19,7.0,0.0,0.0
2021-01-20,9.0,0.0,0.0
2021-01-21,18.0,0.0,0.0
2021-01-22,2.0,0.0,0.0
2021-01-23,7.0,0.0,0.0
2021-01-24,0.0,0.0,0.0
2021-01-25,10.0,0.0,0.0
2021-01-26,2.0,0.0,0.0
2021-01-27,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0
2021-01-29,1.0,14.0,0.0
2021-01-30,9.0,16.0,0.0
2021-01-31,8.0,19.0,0.0
2021-02-01,12.0,7.0,0.0
2021-02-02,20.0,0.0,0.0
2021-02-03,3.0,5.0,0.0
2021-02-04,4.0,0.0,0.0
2021-02-05,15.0,2.0,0.0
2021-02-06,10.0,0.0,0.0
2021-02-07,2.0,0.0,0.0
2021-02-08,1.0,11.0,0.0
2021-02-09,12.0,16.0,0.0
2021-02-10,15.0,25.0,0.0
2021-02-11,6.0,1.0,0.0
2021-02-12,1.0,0.0,0.0
2021-02-13,36.0,15.0,0.0
2021-02-14,9.0,2.0,0.0
2021-02-15,1.0,7.0,0.0
2021-02-16,17.0,15.0,0.0
2021-02-17,10.0,6.0,0.0
2021-02-18,2.0,3.0,0.0
2021-02-19,9.0,14.0,0.0
2021-02-20,5.0,11.0,0.0
2021-02-21,3.0,12.0,0.0
2021-02-22,15.0,11.0,0.0
2021-02-23,21.0,21.0,0.0
2021-02-24,6.0,0.0,0.0
2021-02-25,9.0,7.0,1.0
2021-02-26,2.0,8.0,0.0
2021-02-27,26.0,8.0,0.0
2021-02-28,23.0,1.0,0.0
2021-03-01,15.0,7.0,0.0
2021-03-02,10.0,1.0,0.0
2021-03-03,7.0,16.0,0.0
2021-03-04,12.0,24.0,0.0
2021-03-05,43.0,2.0,0.0
2021-03-06,5.0,2.0,0.0
2021-03-07,13.0,14.0,0.0
2021-03-08,8.0,2.0,0.0
2021-03-09,15.0,12.0,0.0
2021-03-10,15.0,14.0,0.0
2021-03-11,45.0,19.0,0.0
2021-03-12,18.0,6.0,0.0
2021-03-13,16.0,14.0,0.0
2021-03-14,1.0,6.0,0.0
2021-03-15,2.0,16.0,0.0
2021-03-16,19.0,41.0,0.0
2021-03-17,14.0,2.0,0.0
2021-03-18,5.0,11.0,0.0
2021-03-19,3.0,19.0,0.0
2021-03-20,0.0,27.0,0.0
2021-03-21,18.0,20.0,0.0
2021-03-22,25.0,44.0,0.0
2021-03-23,6.0,11.0,0.0
2021-03-24,2.0,1.0,0.0
2021-03-25,9.0,3.0,0.0
2021-03-26,6.0,18.0,0.0
2021-03-27,0.0,11.0,0.0
2021-03-28,1.0,32.0,0.0
2021-03-29,0.0,12.0,0.0
2021-03-30,3.0,9.0,0.0
2021-03-31,5.0,2.0,0.0
2021-04-01,3.0,8.0,0.0
2021-04-02,7.0,2.0,0.0
2021-04-03,7.0,11.0,0.0
2021-04-04,1.0,3.0,0.0
2021-04-05,3.0,8.0,0.0
2021-04-06,7.0,0.0,0.0
2021-04-07,19.0,4.0,0.0
2021-04-08,8.0,3.0,0.0
2021-04-09,6.0,9.0,0.0
2021-04-10,10.0,5.0,0.0
2021-04-11,5.0,3.0,0.0
2021-04-12,14.0,1.0,0.0
2021-04-13,21.0,9.0,0.0
2021-04-14,11.0,0.0,0.0
2021-04-15,56.0,8.0,0.0
2021-04-16,44.0,11.0,0.0
2021-04-17,106.0,5.0,0.0
2021-04-18,114.0,4.0,0.0
2021-04-19,117.0,17.0,0.0
2021-04-20,53.0,26.0,0.0
2021-04-21,191.0,16.0,0.0
2021-04-22,145.0,34.0,0.0
2021-04-23,134.0,17.0,0.0
2021-04-24,157.0,33.0,0.0
2021-04-25,164.0,29.0,0.0
2021-04-26,121.0,119.0,0.0
2021-04-27,154.0,131.0,0.0
2021-04-28,103.0,138.0,0.0
2021-04-29,158.0,45.0,3.0
2021-04-30,105.0,56.0,0.0
2021-05-01,156.0,41.0,0.0
2021-05-02,87.0,275.0,0.0
2021-05-03,70.0,109.0,2.0
2021-05-04,169.0,210.0,0.0
2021-05-05,127.0,160.0,1.0
2021-05-06,152.0,134.0,1.0
2021-05-07,101.0,118.0,1.0
2021-05-08,127.0,215.0,0.0
2021-05-09,125.0,148.0,0.0
2021-05-10,101.0,124.0,1.0
2021-05-11,105.0,104.0,0.0
2021-05-12,115.0,87.0,1.0
2021-05-13,193.0,117.0,2.0
2021-05-14,173.0,102.0,0.0
2021-05-15,82.0,95.0,0.0
2021-05-16,117.0,146.0,1.0
2021-05-17,219.0,129.0,0.0
2021-05-18,226.0,151.0,1.0
2021-05-19,254.0,59.0,3.0
2021-05-20,290.0,97.0,2.0
2021-05-21,345.0,177.0,2.0
2021-05-22,317.0,143.0,2.0
2021-05-23,193.0,141.0,0.0
2021-05-24,236.0,124.0,0.0
2021-05-25,264.0,104.0,2.0
2021-05-26,118.0,190.0,0.0
2021-05-27,135.0,180.0,2.0
2021-05-28,178.0,268.0,1.0
2021-05-29,89.0,218.0,2.0
2021-05-30,297.0,137.0,1.0
2021-05-31,149.0,483.0,1.0
2021-06-01,89.0,322.0,0.0
2021-06-02,169.0,266.0,2.0
2021-06-03,144.0,256.0,0.0
2021-06-04,89.0,234.0,1.0
2021-06-05,99.0,143.0,2.0
2021-06-06,70.0,225.0,0.0
2021-06-07,38.0,195.0,3.0
2021-06-08,99.0,53.0,1.0
2021-06-09,128.0,231.0,0.0
2021-06-10,71.0,137.0,0.0
2021-06-11,49.0,104.0,1.0
2021-06-12,53.0,101.0,0.0
2021-06-13,34.0,72.0,1.0
2021-06-14,27.0,82.0,0.0
2021-06-15,61.0,96.0,1.0
2021-06-16,42.0,79.0,0.0
2021-06-17,38.0,86.0,0.0
2021-06-18,15.0,66.0,0.0
2021-06-19,38.0,39.0,1.0
2021-06-20,13.0,39.0,0.0
2021-06-21,28.0,27.0,0.0
2021-06-22,33.0,34.0,1.0
2021-06-23,55.0,31.0,0.0
2021-06-24,42.0,60.0,0.0
2021-06-25,31.0,39.0,1.0
2021-06-26,27.0,42.0,0.0
2021-06-27,28.0,24.0,0.0
2021-06-28,28.0,34.0,0.0
2021-06-29,27.0,16.0,0.0
2021-06-30,28.0,23.0,0.0
2021-07-01,38.0,55.0,1.0
2021-07-02,35.0,48.0,0.0
2021-07-03,18.0,43.0,0.0
2021-07-04,39.0,20.0,0.0
2021-07-05,36.0,32.0,0.0
2021-07-06,11.0,34.0,0.0
2021-07-07,18.0,27.0,0.0
2021-07-08,15.0,25.0,0.0
2021-07-09,22.0,34.0,0.0
2021-07-10,9.0,22.0,0.0
2021-07-11,2.0,52.0,0.0
2021-07-12,7.0,48.0,0.0
2021-07-13,11.0,21.0,0.0
2021-07-14,5.0,18.0,0.0
2021-07-15,7.0,14.0,0.0
2021-07-16,10.0,20.0,0.0
2021-07-17,8.0,14.0,0.0
2021-07-18,3.0,8.0,0.0
2021-07-19,12.0,8.0,0.0
2021-07-20,16.0,14.0,0.0
2021-07-21,1.0,4.0,0.0
2021-07-22,7.0,11.0,0.0
2021-07-23,10.0,7.0,0.0
2021-07-24,17.0,6.0,0.0
2021-07-25,2.0,7.0,0.0
2021-07-26,12.0,6.0,0.0
2021-07-27,8.0,8.0,0.0
2021-07-28,6.0,11.0,1.0
2021-07-29,7.0,13.0,0.0
2021-07-30,16.0,9.0,0.0
2021-07-31,11.0,4.0,0.0
2021-08-01,6.0,15.0,0.0
2021-08-02,12.0,8.0,0.0
2021-08-03,19.0,8.0,0.0
2021-08-04,5.0,14.0,0.0
2021-08-05,4.0,9.0,0.0
2021-08-06,8.0,16.0,0.0
2021-08-07,4.0,8.0,0.0
2021-08-08,2.0,12.0,0.0
2021-08-09,8.0,7.0,1.0
2021-08-10,6.0,13.0,0.0
2021-08-11,5.0,10.0,0.0
2021-08-12,6.0,8.0,0.0
2021-08-13,4.0,5.0,0.0
2021-08-14,7.0,5.0,0.0
2021-08-15,3.0,5.0,0.0
2021-08-16,6.0,6.0,0.0
2021-08-17,1.0,6.0,0.0
2021-08-18,4.0,2.0,0.0
2021-08-19,2.0,3.0,0.0
2021-08-20,5.0,7.0,0.0
2021-08-21,2.0,9.0,0.0
2021-08-22,1.0,3.0,0.0
2021-08-23,8.0,3.0,0.0
2021-08-24,1.0,1.0,0.0
2021-08-25,9.0,4.0,0.0
2021-08-26,1.0,2.0,0.0
2021-08-27,6.0,5.0,0.0
2021-08-28,2.0,6.0,0.0
2021-08-29,2.0,0.0,0.0
2021-08-30,7.0,5.0,0.0
2021-08-31,2.0,3.0,0.0
2021-09-01,0.0,5.0,0.0
2021-09-02,1.0,2.0,0.0
2021-09-03,0.0,3.0,0.0
2021-09-04,0.0,9.0,0.0
2021-09-05,0.0,1.0,0.0
2021-09-06,0.0,2.0,0.0
2021-09-07,0.0,5.0,0.0
2021-09-08,1.0,3.0,0.0
2021-09-09,1.0,1.0,0.0
2021-09-10,0.0,0.0,0.0
2021-09-11,1.0,0.0,0.0
2021-09-12,0.0,0.0,0.0
2021-09-13,2.0,0.0,0.0
2021-09-14,0.0,1.0,0.0
2021-09-15,0.0,0.0,0.0
2021-09-16,0.0,0.0,0.0
2021-09-17,0.0,0.0,0.0
2021-09-18,3.0,1.0,0.0
2021-09-19,0.0,1.0,0.0
2021-09-20,3.0,0.0,0.0
2021-09-21,1.0,0.0,0.0
2021-09-22,1.0,0.0,0.0
2021-09-23,0.0,2.0,0.0
2021-09-24,0.0,0.0,0.0
2021-09-25,0.0,3.0,0.0
2021-09-26,0.0,0.0,0.0
2021-09-27,0.0,0.0,0.0
2021-09-28,0.0,1.0,0.0
2021-09-29,0.0,0.0,0.0
2021-09-30,0.0,2.0,0.0
2021-10-01,0.0,2.0,0.0
2021-10-02,0.0,0.0,0.0
2021-10-03,0.0,0.0,0.0
2021-10-04,1.0,0.0,0.0
2021-10-05,1.0,0.0,0.0
2021-10-06,1.0,0.0,0.0
2021-10-07,0.0,0.0,0.0
2021-10-08,0.0,0.0,0.0
2021-10-09,1.0,0.0,0.0
2021-10-10,0.0,0.0,0.0
2021-10-11,0.0,0.0,0.0
2021-10-12,0.0,0.0,0.0
2021-10-13,0.0,1.0,0.0
2021-10-14,0.0,0.0,0.0
2021-10-15,0.0,1.0,0.0
2021-10-16,0.0,1.0,0.0
2021-10-17,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0
2021-10-19,0.0,0.0,0.0
2021-10-20,0.0,0.0,0.0
2021-10-21,0.0,0.0,0.0
2021-10-22,0.0,0.0,0.0
2021-10-23,0.0,0.0,0.0
2021-10-24,0.0,0.0,0.0
2021-10-25,0.0,0.0,0.0
2021-10-26,0.0,0.0,0.0
2021-10-27,0.0,0.0,0.0
2021-10-28,0.0,0.0,0.0
2021-10-29,0.0,0.0,0.0
2021-10-30,0.0,0.0,0.0
2021-10-31,0.0,0.0,0.0
