Date,Confirmed,Recovered,Deceased
2020-03-20,4.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,2.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,1.0,0.0,0.0
2020-03-25,8.0,0.0,0.0
2020-03-26,5.0,0.0,0.0
2020-03-27,9.0,0.0,0.0
2020-03-28,10.0,0.0,0.0
2020-03-29,0.0,0.0,2.0
2020-03-30,8.0,0.0,2.0
2020-03-31,19.0,0.0,1.0
2020-04-01,32.0,0.0,1.0
2020-04-02,9.0,0.0,2.0
2020-04-03,47.0,0.0,0.0
2020-04-04,25.0,0.0,3.0
2020-04-05,14.0,3.0,2.0
2020-04-06,63.0,8.0,2.0
2020-04-07,34.0,10.0,6.0
2020-04-08,51.0,4.0,3.0
2020-04-09,70.0,0.0,9.0
2020-04-10,40.0,12.0,3.0
2020-04-11,78.0,1.0,4.0
2020-04-12,33.0,3.0,3.0
2020-04-13,52.0,10.0,7.0
2020-04-14,127.0,13.0,3.0
2020-04-15,197.0,0.0,0.0
2020-04-16,226.0,6.0,2.0
2020-04-17,146.0,0.0,14.0
2020-04-18,92.0,57.0,0.0
2020-04-19,5.0,4.0,3.0
2020-04-20,78.0,7.0,4.0
2020-04-21,67.0,10.0,4.0
2020-04-22,35.0,4.0,0.0
2020-04-23,100.0,51.0,3.0
2020-04-24,159.0,7.0,9.0
2020-04-25,99.0,71.0,7.0
2020-04-26,145.0,21.0,4.0
2020-04-27,75.0,55.0,7.0
2020-04-28,222.0,16.0,10.0
2020-04-29,173.0,88.0,10.0
2020-04-30,65.0,21.0,7.0
2020-05-01,90.0,42.0,8.0
2020-05-02,73.0,100.0,6.0
2020-05-03,49.0,174.0,5.0
2020-05-04,105.0,58.0,9.0
2020-05-05,107.0,144.0,11.0
2020-05-06,89.0,99.0,9.0
2020-05-07,114.0,132.0,8.0
2020-05-08,89.0,118.0,7.0
2020-05-09,116.0,131.0,11.0
2020-05-10,157.0,196.0,4.0
2020-05-11,171.0,71.0,6.0
2020-05-12,201.0,113.0,4.0
2020-05-13,187.0,144.0,7.0
2020-05-14,253.0,167.0,5.0
2020-05-15,169.0,112.0,2.0
2020-05-16,195.0,32.0,4.0
2020-05-17,187.0,88.0,5.0
2020-05-18,259.0,32.0,4.0
2020-05-19,229.0,196.0,6.0
2020-05-20,270.0,103.0,9.0
2020-05-21,246.0,110.0,4.0
2020-05-22,189.0,245.0,1.0
2020-05-23,201.0,178.0,9.0
2020-05-24,294.0,141.0,9.0
2020-05-25,194.0,163.0,10.0
2020-05-26,165.0,118.0,5.0
2020-05-27,237.0,238.0,8.0
2020-05-28,192.0,123.0,8.0
2020-05-29,192.0,219.0,13.0
2020-05-30,246.0,175.0,9.0
2020-05-31,198.0,398.0,7.0
2020-06-01,194.0,161.0,8.0
2020-06-02,137.0,218.0,6.0
2020-06-03,168.0,224.0,7.0
2020-06-04,174.0,192.0,6.0
2020-06-05,234.0,241.0,7.0
2020-06-06,232.0,230.0,15.0
2020-06-07,173.0,223.0,13.0
2020-06-08,237.0,205.0,2.0
2020-06-09,211.0,193.0,6.0
2020-06-10,200.0,163.0,7.0
2020-06-11,192.0,150.0,4.0
2020-06-12,202.0,159.0,9.0
2020-06-13,198.0,176.0,7.0
2020-06-14,161.0,300.0,12.0
2020-06-15,133.0,226.0,6.0
2020-06-16,148.0,249.0,11.0
2020-06-17,161.0,236.0,6.0
2020-06-18,182.0,244.0,4.0
2020-06-19,156.0,116.0,9.0
2020-06-20,142.0,132.0,6.0
2020-06-21,179.0,135.0,14.0
2020-06-22,175.0,200.0,6.0
2020-06-23,183.0,120.0,4.0
2020-06-24,187.0,138.0,9.0
2020-06-25,147.0,146.0,8.0
2020-06-26,203.0,185.0,4.0
2020-06-27,167.0,167.0,4.0
2020-06-28,221.0,113.0,7.0
2020-06-29,184.0,115.0,7.0
2020-06-30,223.0,196.0,8.0
2020-07-01,268.0,260.0,9.0
2020-07-02,245.0,160.0,8.0
2020-07-03,191.0,234.0,4.0
2020-07-04,307.0,185.0,5.0
2020-07-05,326.0,177.0,10.0
2020-07-06,354.0,168.0,9.0
2020-07-07,343.0,189.0,5.0
2020-07-08,409.0,219.0,7.0
2020-07-09,305.0,245.0,5.0
2020-07-10,316.0,249.0,4.0
2020-07-11,544.0,198.0,6.0
2020-07-12,431.0,197.0,9.0
2020-07-13,575.0,332.0,10.0
2020-07-14,798.0,367.0,10.0
2020-07-15,638.0,333.0,9.0
2020-07-16,735.0,219.0,7.0
2020-07-17,704.0,387.0,9.0
2020-07-18,681.0,350.0,8.0
2020-07-19,837.0,447.0,15.0
2020-07-20,710.0,373.0,17.0
2020-07-21,785.0,573.0,18.0
2020-07-22,747.0,579.0,14.0
2020-07-23,632.0,523.0,10.0
2020-07-24,736.0,507.0,11.0
2020-07-25,716.0,622.0,8.0
2020-07-26,874.0,644.0,12.0
2020-07-27,789.0,659.0,9.0
2020-07-28,628.0,552.0,10.0
2020-07-29,917.0,591.0,14.0
2020-07-30,834.0,723.0,13.0
2020-07-31,838.0,614.0,10.0
2020-08-01,808.0,698.0,9.0
2020-08-02,921.0,581.0,10.0
2020-08-03,750.0,549.0,14.0
2020-08-04,797.0,1315.0,12.0
2020-08-05,652.0,650.0,17.0
2020-08-06,830.0,838.0,17.0
2020-08-07,734.0,719.0,16.0
2020-08-08,859.0,732.0,15.0
2020-08-09,868.0,667.0,19.0
2020-08-10,866.0,654.0,19.0
2020-08-11,843.0,922.0,18.0
2020-08-12,870.0,643.0,15.0
2020-08-13,1014.0,596.0,17.0
2020-08-14,796.0,570.0,16.0
2020-08-15,1019.0,948.0,13.0
2020-08-16,1022.0,685.0,11.0
2020-08-17,930.0,987.0,23.0
2020-08-18,990.0,688.0,13.0
2020-08-19,976.0,762.0,18.0
2020-08-20,1142.0,1065.0,12.0
2020-08-21,1147.0,987.0,14.0
2020-08-22,1226.0,872.0,21.0
2020-08-23,1263.0,991.0,23.0
2020-08-24,1292.0,841.0,17.0
2020-08-25,1379.0,1079.0,19.0
2020-08-26,1064.0,936.0,17.0
2020-08-27,1317.0,1207.0,24.0
2020-08-28,1252.0,943.0,17.0
2020-08-29,1442.0,1017.0,22.0
2020-08-30,1558.0,1054.0,29.0
2020-08-31,1532.0,1190.0,20.0
2020-09-01,1525.0,1335.0,32.0
2020-09-02,1424.0,1132.0,27.0
2020-09-03,1672.0,1091.0,30.0
2020-09-04,1658.0,1042.0,30.0
2020-09-05,1636.0,1392.0,30.0
2020-09-06,1694.0,1238.0,29.0
2020-09-07,1885.0,1022.0,17.0
2020-09-08,1864.0,1600.0,20.0
2020-09-09,1869.0,1341.0,31.0
2020-09-10,2187.0,1435.0,21.0
2020-09-11,2240.0,1651.0,30.0
2020-09-12,2347.0,1462.0,37.0
2020-09-13,2281.0,1600.0,34.0
2020-09-14,2483.0,1713.0,29.0
2020-09-15,2323.0,1902.0,29.0
2020-09-16,2462.0,1922.0,24.0
2020-09-17,2391.0,2863.0,33.0
2020-09-18,2552.0,2554.0,24.0
2020-09-19,2607.0,2206.0,42.0
2020-09-20,2579.0,2216.0,27.0
2020-09-21,2523.0,2244.0,37.0
2020-09-22,2544.0,2412.0,28.0
2020-09-23,2346.0,2138.0,42.0
2020-09-24,2304.0,2327.0,45.0
2020-09-25,2227.0,2743.0,30.0
2020-09-26,2311.0,2252.0,29.0
2020-09-27,2310.0,2081.0,26.0
2020-09-28,1957.0,2441.0,35.0
2020-09-29,1877.0,2433.0,39.0
2020-09-30,2004.0,2289.0,35.0
2020-10-01,2041.0,2545.0,20.0
2020-10-02,2019.0,2332.0,36.0
2020-10-03,1811.0,2101.0,27.0
2020-10-04,1720.0,2120.0,35.0
2020-10-05,1460.0,2046.0,29.0
2020-10-06,1570.0,2161.0,25.0
2020-10-07,1639.0,2228.0,30.0
2020-10-08,1715.0,2420.0,29.0
2020-10-09,1607.0,2200.0,27.0
2020-10-10,1616.0,2147.0,25.0
2020-10-11,1575.0,1985.0,25.0
2020-10-12,1478.0,1702.0,21.0
2020-10-13,1463.0,1708.0,26.0
2020-10-14,5515.0,5729.0,15.0
2020-10-15,1308.0,1559.0,24.0
2020-10-16,1352.0,1556.0,25.0
2020-10-17,1222.0,1434.0,18.0
2020-10-18,1030.0,1427.0,20.0
2020-10-19,1015.0,1287.0,13.0
2020-10-20,975.0,1439.0,25.0
2020-10-21,1118.0,1222.0,17.0
2020-10-22,1045.0,1271.0,14.0
2020-10-23,953.0,1325.0,13.0
2020-10-24,1004.0,1268.0,20.0
2020-10-25,951.0,1181.0,10.0
2020-10-26,720.0,1095.0,5.0
2020-10-27,514.0,1010.0,8.0
2020-10-28,788.0,1032.0,15.0
2020-10-29,728.0,1117.0,16.0
2020-10-30,691.0,1074.0,12.0
2020-10-31,669.0,1024.0,10.0
2020-11-01,723.0,1107.0,7.0
2020-11-02,635.0,868.0,7.0
2020-11-03,667.0,912.0,9.0
2020-11-04,707.0,884.0,13.0
2020-11-05,734.0,817.0,5.0
2020-11-06,778.0,856.0,12.0
2020-11-07,865.0,792.0,13.0
2020-11-08,891.0,688.0,11.0
2020-11-09,809.0,681.0,6.0
2020-11-10,900.0,793.0,8.0
2020-11-11,883.0,691.0,13.0
2020-11-12,1046.0,692.0,10.0
2020-11-13,1048.0,833.0,11.0
2020-11-14,1012.0,876.0,7.0
2020-11-15,870.0,722.0,7.0
2020-11-16,597.0,745.0,2.0
2020-11-17,922.0,848.0,10.0
2020-11-18,1209.0,918.0,13.0
2020-11-19,1363.0,887.0,14.0
2020-11-20,1528.0,917.0,9.0
2020-11-21,1700.0,899.0,11.0
2020-11-22,1798.0,1212.0,13.0
2020-11-23,1701.0,1120.0,10.0
2020-11-24,1766.0,1112.0,11.0
2020-11-25,1773.0,996.0,14.0
2020-11-26,1668.0,1199.0,12.0
2020-11-27,1645.0,1152.0,15.0
2020-11-28,1634.0,1317.0,13.0
2020-11-29,1514.0,1508.0,13.0
2020-11-30,1383.0,1576.0,10.0
2020-12-01,1357.0,1683.0,10.0
2020-12-02,1439.0,1838.0,17.0
2020-12-03,1450.0,1569.0,13.0
2020-12-04,1324.0,1556.0,14.0
2020-12-05,1352.0,1449.0,12.0
2020-12-06,1455.0,1585.0,11.0
2020-12-07,1452.0,1390.0,10.0
2020-12-08,1345.0,1497.0,11.0
2020-12-09,1272.0,1323.0,8.0
2020-12-10,1319.0,1307.0,7.0
2020-12-11,1222.0,1347.0,9.0
2020-12-12,1282.0,1418.0,9.0
2020-12-13,1181.0,1278.0,13.0
2020-12-14,1058.0,1084.0,8.0
2020-12-15,1073.0,1347.0,13.0
2020-12-16,1079.0,1257.0,8.0
2020-12-17,1161.0,1326.0,9.0
2020-12-18,1181.0,1450.0,11.0
2020-12-19,1085.0,1410.0,15.0
2020-12-20,1069.0,1274.0,13.0
2020-12-21,1035.0,1290.0,9.0
2020-12-22,1005.0,1053.0,12.0
2020-12-23,1007.0,1223.0,12.0
2020-12-24,1038.0,1118.0,10.0
2020-12-25,1031.0,1234.0,12.0
2020-12-26,1006.0,1129.0,9.0
2020-12-27,946.0,1160.0,18.0
2020-12-28,876.0,1090.0,9.0
2020-12-29,853.0,1122.0,10.0
2020-12-30,866.0,1061.0,13.0
2020-12-31,844.0,866.0,11.0
2021-01-01,780.0,900.0,12.0
2021-01-02,731.0,855.0,9.0
2021-01-03,724.0,947.0,14.0
2021-01-04,621.0,857.0,7.0
2021-01-05,671.0,839.0,14.0
2021-01-06,730.0,633.0,8.0
2021-01-07,774.0,750.0,12.0
2021-01-08,614.0,809.0,9.0
2021-01-09,541.0,826.0,10.0
2021-01-10,620.0,816.0,10.0
2021-01-11,485.0,650.0,7.0
2021-01-12,471.0,615.0,8.0
2021-01-13,456.0,655.0,6.0
2021-01-14,420.0,598.0,8.0
2021-01-15,429.0,574.0,6.0
2021-01-16,365.0,793.0,5.0
2021-01-17,355.0,478.0,2.0
2021-01-18,304.0,540.0,3.0
2021-01-19,304.0,725.0,7.0
2021-01-20,280.0,997.0,7.0
2021-01-21,301.0,704.0,6.0
2021-01-22,347.0,463.0,4.0
2021-01-23,291.0,454.0,6.0
2021-01-24,252.0,388.0,3.0
2021-01-25,200.0,861.0,2.0
2021-01-26,228.0,515.0,2.0
2021-01-27,185.0,345.0,6.0
2021-01-28,226.0,321.0,3.0
2021-01-29,171.0,297.0,3.0
2021-01-30,219.0,283.0,2.0
2021-01-31,226.0,318.0,3.0
2021-02-01,151.0,260.0,2.0
2021-02-02,168.0,296.0,3.0
2021-02-03,258.0,250.0,1.0
2021-02-04,166.0,263.0,2.0
2021-02-05,162.0,299.0,1.0
2021-02-06,197.0,315.0,1.0
2021-02-07,184.0,217.0,0.0
2021-02-08,193.0,190.0,3.0
2021-02-09,167.0,219.0,2.0
2021-02-10,141.0,175.0,2.0
2021-02-11,169.0,199.0,1.0
2021-02-12,161.0,218.0,1.0
2021-02-13,194.0,227.0,0.0
2021-02-14,223.0,205.0,5.0
2021-02-15,203.0,194.0,4.0
2021-02-16,233.0,221.0,3.0
2021-02-17,251.0,243.0,1.0
2021-02-18,241.0,193.0,2.0
2021-02-19,297.0,250.0,2.0
2021-02-20,257.0,213.0,4.0
2021-02-21,299.0,238.0,4.0
2021-02-22,294.0,241.0,0.0
2021-02-23,246.0,200.0,1.0
2021-02-24,346.0,223.0,2.0
2021-02-25,368.0,201.0,2.0
2021-02-26,332.0,246.0,3.0
2021-02-27,390.0,241.0,1.0
2021-02-28,363.0,243.0,1.0
2021-03-01,336.0,219.0,1.0
2021-03-02,331.0,259.0,0.0
2021-03-03,417.0,293.0,0.0
2021-03-04,440.0,228.0,1.0
2021-03-05,457.0,308.0,0.0
2021-03-06,467.0,395.0,2.0
2021-03-07,429.0,347.0,3.0
2021-03-08,427.0,394.0,1.0
2021-03-09,457.0,382.0,2.0
2021-03-10,516.0,309.0,3.0
2021-03-11,530.0,347.0,4.0
2021-03-12,603.0,360.0,2.0
2021-03-13,675.0,496.0,2.0
2021-03-14,743.0,513.0,2.0
2021-03-15,797.0,510.0,3.0
2021-03-16,817.0,554.0,1.0
2021-03-17,832.0,500.0,2.0
2021-03-18,917.0,500.0,1.0
2021-03-19,1140.0,556.0,7.0
2021-03-20,1308.0,571.0,2.0
2021-03-21,1322.0,663.0,3.0
2021-03-22,1348.0,754.0,2.0
2021-03-23,1502.0,798.0,4.0
2021-03-24,1712.0,950.0,7.0
2021-03-25,1885.0,919.0,9.0
2021-03-26,2091.0,1048.0,9.0
2021-03-27,2142.0,1175.0,10.0
2021-03-28,2276.0,1075.0,11.0
2021-03-29,2323.0,1349.0,9.0
2021-03-30,2173.0,1279.0,10.0
2021-03-31,2332.0,1261.0,9.0
2021-04-01,2546.0,1573.0,12.0
2021-04-02,2777.0,1482.0,16.0
2021-04-03,2839.0,1791.0,15.0
2021-04-04,3178.0,2201.0,11.0
2021-04-05,3398.0,2064.0,15.0
2021-04-06,3722.0,2203.0,18.0
2021-04-07,4043.0,2126.0,13.0
2021-04-08,4324.0,2296.0,27.0
2021-04-09,4882.0,2433.0,23.0
2021-04-10,4986.0,2741.0,24.0
2021-04-11,5939.0,3306.0,24.0
2021-04-12,6489.0,3117.0,37.0
2021-04-13,8998.0,4070.0,40.0
2021-04-14,9720.0,3657.0,51.0
2021-04-15,10166.0,3970.0,53.0
2021-04-16,11045.0,7496.0,60.0
2021-04-17,11269.0,6497.0,66.0
2021-04-18,12248.0,7495.0,66.0
2021-04-19,12897.0,6836.0,79.0
2021-04-20,12727.0,8937.0,77.0
2021-04-21,13107.0,9035.0,75.0
2021-04-22,12384.0,9620.0,75.0
2021-04-23,13590.0,10833.0,74.0
2021-04-24,12918.0,11091.0,104.0
2021-04-25,13601.0,11324.0,92.0
2021-04-26,12686.0,11612.0,88.0
2021-04-27,13417.0,11577.0,98.0
2021-04-28,12758.0,14156.0,105.0
2021-04-29,12762.0,13363.0,95.0
2021-04-30,12400.0,13584.0,97.0
2021-05-01,12379.0,14562.0,102.0
2021-05-02,12662.0,13890.0,94.0
2021-05-03,12062.0,13408.0,93.0
2021-05-04,12236.0,11249.0,98.0
2021-05-05,12319.0,9643.0,71.0
2021-05-06,12421.0,12965.0,86.0
2021-05-07,11708.0,4815.0,84.0
2021-05-08,11598.0,4445.0,90.0
2021-05-09,11051.0,4538.0,86.0
2021-05-10,9715.0,7324.0,81.0
2021-05-11,9754.0,9517.0,94.0
2021-05-12,8970.0,10324.0,84.0
2021-05-13,8419.0,10157.0,74.0
2021-05-14,8087.0,11671.0,88.0
2021-05-15,7571.0,11973.0,72.0
2021-05-16,7106.0,12345.0,79.0
2021-05-17,5921.0,11513.0,77.0
2021-05-18,5412.0,11358.0,70.0
2021-05-19,5065.0,10337.0,88.0
2021-05-20,4952.0,9746.0,88.0
2021-05-21,4384.0,9405.0,79.0
2021-05-22,3844.0,9327.0,89.0
2021-05-23,3375.0,7587.0,75.0
2021-05-24,2936.0,6989.0,60.0
2021-05-25,2422.0,7373.0,68.0
2021-05-26,2182.0,7479.0,72.0
2021-05-27,1977.0,6845.0,70.0
2021-05-28,1854.0,5796.0,63.0
2021-05-29,1640.0,4995.0,68.0
2021-05-30,1476.0,5059.0,60.0
2021-05-31,1205.0,5023.0,48.0
2021-06-01,1078.0,4120.0,45.0
2021-06-02,991.0,4113.0,45.0
2021-06-03,846.0,3746.0,50.0
2021-06-04,798.0,2045.0,50.0
2021-06-05,718.0,2225.0,38.0
2021-06-06,735.0,1934.0,42.0
2021-06-07,571.0,1782.0,32.0
2021-06-08,535.0,1376.0,36.0
2021-06-09,453.0,1329.0,36.0
2021-06-10,420.0,1132.0,34.0
2021-06-11,397.0,1240.0,35.0
2021-06-12,334.0,985.0,21.0
2021-06-13,277.0,780.0,21.0
2021-06-14,242.0,516.0,36.0
2021-06-15,224.0,528.0,27.0
2021-06-16,160.0,463.0,34.0
2021-06-17,145.0,404.0,30.0
2021-06-18,110.0,339.0,28.0
2021-06-19,110.0,365.0,30.0
2021-06-20,87.0,285.0,30.0
2021-06-21,89.0,304.0,19.0
2021-06-22,65.0,318.0,20.0
2021-06-23,84.0,275.0,21.0
2021-06-24,62.0,255.0,22.0
2021-06-25,50.0,198.0,22.0
2021-06-26,46.0,204.0,25.0
2021-06-27,39.0,129.0,21.0
2021-06-28,37.0,138.0,19.0
2021-06-29,38.0,86.0,18.0
2021-06-30,33.0,78.0,15.0
2021-07-01,40.0,65.0,12.0
2021-07-02,43.0,54.0,8.0
2021-07-03,49.0,61.0,12.0
2021-07-04,47.0,50.0,8.0
2021-07-05,32.0,39.0,6.0
2021-07-06,27.0,44.0,2.0
2021-07-07,28.0,32.0,2.0
2021-07-08,26.0,47.0,4.0
2021-07-09,29.0,38.0,1.0
2021-07-10,27.0,40.0,1.0
2021-07-11,23.0,0.0,0.0
2021-07-12,18.0,-1440.0,1481.0
2021-07-13,1390.0,1501.0,2.0
2021-07-14,11.0,19.0,0.0
2021-07-15,20.0,36.0,2.0
2021-07-16,15.0,33.0,0.0
2021-07-17,11.0,23.0,2.0
2021-07-18,18.0,20.0,0.0
2021-07-19,12.0,29.0,0.0
2021-07-20,19.0,31.0,0.0
2021-07-21,15.0,20.0,0.0
2021-07-22,17.0,17.0,0.0
2021-07-23,11.0,24.0,0.0
2021-07-24,6.0,29.0,0.0
2021-07-25,12.0,13.0,0.0
2021-07-26,6.0,14.0,0.0
2021-07-27,11.0,13.0,0.0
2021-07-28,11.0,18.0,1.0
