Date,Confirmed,Recovered,Deceased
2020-03-09,2.0,0.0,0.0
2020-03-10,3.0,0.0,0.0
2020-03-11,6.0,0.0,0.0
2020-03-12,3.0,0.0,0.0
2020-03-13,3.0,0.0,0.0
2020-03-14,9.0,0.0,0.0
2020-03-15,6.0,0.0,0.0
2020-03-16,7.0,0.0,0.0
2020-03-17,2.0,0.0,0.0
2020-03-18,4.0,0.0,0.0
2020-03-19,3.0,0.0,0.0
2020-03-20,4.0,0.0,0.0
2020-03-21,12.0,0.0,0.0
2020-03-22,10.0,0.0,0.0
2020-03-23,15.0,0.0,0.0
2020-03-24,18.0,0.0,0.0
2020-03-25,15.0,0.0,0.0
2020-03-26,3.0,0.0,0.0
2020-03-27,28.0,0.0,0.0
2020-03-28,28.0,0.0,0.0
2020-03-29,22.0,25.0,8.0
2020-03-30,17.0,14.0,2.0
2020-03-31,82.0,0.0,1.0
2020-04-01,33.0,0.0,5.0
2020-04-02,88.0,3.0,5.0
2020-04-03,64.0,8.0,5.0
2020-04-04,148.0,2.0,6.0
2020-04-05,112.0,4.0,13.0
2020-04-06,121.0,14.0,7.0
2020-04-07,150.0,9.0,12.0
2020-04-08,117.0,38.0,8.0
2020-04-09,229.0,8.0,25.0
2020-04-10,210.0,63.0,13.0
2020-04-11,187.0,20.0,17.0
2020-04-12,221.0,9.0,22.0
2020-04-13,352.0,12.0,11.0
2020-04-14,346.0,30.0,18.0
2020-04-15,236.0,36.0,9.0
2020-04-16,285.0,5.0,7.0
2020-04-17,120.0,31.0,7.0
2020-04-18,327.0,34.0,10.0
2020-04-19,552.0,142.0,12.0
2020-04-20,466.0,65.0,9.0
2020-04-21,552.0,150.0,19.0
2020-04-22,431.0,67.0,18.0
2020-04-23,778.0,51.0,14.0
2020-04-24,390.0,117.0,18.0
2020-04-25,811.0,119.0,22.0
2020-04-26,440.0,112.0,19.0
2020-04-27,522.0,94.0,27.0
2020-04-28,728.0,106.0,31.0
2020-04-29,597.0,205.0,32.0
