Date,Confirmed,Recovered,Deceased
2020-03-24,1.0,0.0,0.0
2020-03-25,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-04-02,1.0,0.0,0.0
2020-04-03,0.0,0.0,0.0
2020-04-04,0.0,0.0,0.0
2020-04-05,0.0,0.0,0.0
2020-04-06,0.0,1.0,0.0
2020-04-07,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0
2020-04-11,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0
2020-04-15,0.0,0.0,0.0
2020-04-16,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-20,0.0,1.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,0.0,0.0,0.0
2020-04-26,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0
2020-04-28,0.0,0.0,0.0
2020-04-29,0.0,0.0,0.0
2020-04-30,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-05-02,0.0,0.0,0.0
2020-05-03,0.0,0.0,0.0
2020-05-04,0.0,0.0,0.0
2020-05-05,0.0,0.0,0.0
2020-05-06,0.0,0.0,0.0
2020-05-07,0.0,0.0,0.0
2020-05-08,0.0,0.0,0.0
2020-05-09,0.0,0.0,0.0
2020-05-10,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0
2020-05-12,0.0,0.0,0.0
2020-05-13,0.0,0.0,0.0
2020-05-14,1.0,0.0,0.0
2020-05-15,0.0,0.0,0.0
2020-05-16,4.0,0.0,0.0
2020-05-17,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0
2020-05-19,2.0,0.0,0.0
2020-05-20,16.0,0.0,0.0
2020-05-21,0.0,0.0,0.0
2020-05-22,1.0,0.0,0.0
2020-05-23,3.0,0.0,0.0
2020-05-24,3.0,2.0,0.0
2020-05-25,4.0,0.0,0.0
2020-05-26,3.0,0.0,0.0
2020-05-27,5.0,0.0,0.0
2020-05-28,11.0,0.0,0.0
2020-05-29,4.0,2.0,0.0
2020-05-30,1.0,0.0,0.0
2020-05-31,11.0,5.0,0.0
2020-06-01,12.0,0.0,0.0
2020-06-02,6.0,3.0,0.0
2020-06-03,19.0,24.0,0.0
2020-06-04,16.0,0.0,0.0
2020-06-05,8.0,0.0,0.0
2020-06-06,25.0,14.0,0.0
2020-06-07,15.0,0.0,0.0
2020-06-08,100.0,6.0,0.0
2020-06-09,32.0,6.0,0.0
2020-06-10,7.0,0.0,0.0
2020-06-11,55.0,9.0,0.0
2020-06-12,19.0,0.0,0.0
2020-06-13,64.0,0.0,0.0
2020-06-14,9.0,18.0,0.0
2020-06-15,32.0,60.0,0.0
2020-06-16,10.0,8.0,0.0
2020-06-17,52.0,33.0,0.0
