Date,Confirmed,Recovered,Deceased
2020-03-16,1.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,1.0,0.0,0.0
2020-03-20,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0
2020-03-26,1.0,0.0,0.0
2020-03-27,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0
2020-03-30,0.0,0.0,0.0
2020-03-31,1.0,0.0,0.0
2020-04-01,1.0,1.0,0.0
2020-04-02,0.0,0.0,0.0
2020-04-03,15.0,1.0,0.0
2020-04-04,1.0,0.0,0.0
2020-04-05,18.0,0.0,0.0
2020-04-06,1.0,0.0,0.0
2020-04-07,2.0,0.0,1.0
2020-04-08,0.0,0.0,0.0
2020-04-09,6.0,0.0,0.0
2020-04-10,2.0,10.0,0.0
2020-04-11,4.0,0.0,0.0
2020-04-12,0.0,0.0,0.0
2020-04-13,1.0,6.0,0.0
2020-04-14,5.0,0.0,0.0
2020-04-15,0.0,1.0,0.0
2020-04-16,0.0,0.0,0.0
2020-04-17,0.0,2.0,0.0
2020-04-18,1.0,3.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-20,13.0,0.0,0.0
2020-04-21,5.0,6.0,0.0
2020-04-22,4.0,2.0,0.0
2020-04-23,6.0,1.0,0.0
2020-04-24,5.0,0.0,0.0
2020-04-25,6.0,1.0,0.0
2020-04-26,3.0,1.0,0.0
2020-04-27,15.0,2.0,0.0
2020-04-28,0.0,1.0,0.0
2020-04-29,7.0,1.0,0.0
2020-04-30,18.0,2.0,0.0
2020-05-01,11.0,14.0,0.0
2020-05-02,6.0,1.0,0.0
2020-05-03,2.0,4.0,0.0
2020-05-04,7.0,0.0,0.0
2020-05-05,8.0,0.0,1.0
2020-05-06,28.0,1.0,0.0
2020-05-07,14.0,1.0,0.0
2020-05-08,51.0,1.0,0.0
2020-05-09,82.0,5.0,1.0
2020-05-10,25.0,0.0,0.0
2020-05-11,38.0,17.0,0.0
2020-05-12,22.0,31.0,0.0
2020-05-13,101.0,27.0,0.0
2020-05-14,134.0,15.0,0.0
2020-05-15,65.0,8.0,0.0
2020-05-16,0.0,30.0,0.0
2020-05-17,91.0,24.0,1.0
2020-05-18,48.0,57.0,0.0
2020-05-19,102.0,30.0,1.0
2020-05-20,74.0,36.0,1.0
2020-05-21,51.0,50.0,1.0
2020-05-22,86.0,43.0,0.0
2020-05-23,80.0,61.0,0.0
2020-05-24,67.0,53.0,0.0
2020-05-25,102.0,99.0,0.0
2020-05-26,79.0,84.0,0.0
2020-05-27,76.0,79.0,0.0
2020-05-28,67.0,75.0,0.0
2020-05-29,63.0,90.0,2.0
2020-05-30,96.0,73.0,0.0
2020-05-31,129.0,76.0,0.0
2020-06-01,156.0,119.0,0.0
2020-06-02,141.0,80.0,0.0
2020-06-03,143.0,91.0,0.0
2020-06-04,90.0,65.0,0.0
2020-06-05,130.0,123.0,1.0
2020-06-06,173.0,112.0,0.0
2020-06-07,75.0,178.0,1.0
2020-06-08,138.0,99.0,0.0
2020-06-09,146.0,140.0,0.0
2020-06-10,110.0,149.0,0.0
2020-06-11,136.0,72.0,1.0
2020-06-12,112.0,120.0,1.0
2020-06-13,225.0,120.0,0.0
2020-06-14,186.0,114.0,1.0
2020-06-15,146.0,146.0,0.0
2020-06-16,108.0,120.0,0.0
2020-06-17,175.0,73.0,0.0
2020-06-18,174.0,97.0,0.0
2020-06-19,165.0,153.0,0.0
2020-06-20,179.0,237.0,1.0
2020-06-21,304.0,186.0,4.0
2020-06-22,143.0,143.0,2.0
2020-06-23,167.0,125.0,3.0
2020-06-24,282.0,135.0,0.0
2020-06-25,210.0,168.0,0.0
2020-06-26,218.0,131.0,0.0
2020-06-27,170.0,184.0,1.0
2020-06-28,264.0,137.0,3.0
2020-06-29,245.0,203.0,2.0
2020-06-30,206.0,243.0,2.0
2020-07-01,251.0,164.0,1.0
2020-07-02,229.0,149.0,2.0
2020-07-03,561.0,203.0,2.0
2020-07-04,495.0,229.0,6.0
2020-07-05,469.0,290.0,3.0
2020-07-06,456.0,262.0,2.0
2020-07-07,571.0,217.0,6.0
2020-07-08,527.0,303.0,7.0
2020-07-09,577.0,401.0,6.0
2020-07-10,755.0,565.0,6.0
2020-07-11,570.0,388.0,6.0
2020-07-12,595.0,390.0,5.0
2020-07-13,616.0,505.0,7.0
2020-07-14,543.0,609.0,5.0
2020-07-15,618.0,612.0,5.0
2020-07-16,494.0,401.0,2.0
2020-07-17,718.0,453.0,6.0
2020-07-18,591.0,607.0,3.0
2020-07-19,736.0,516.0,7.0
2020-07-20,673.0,457.0,6.0
2020-07-21,647.0,400.0,8.0
2020-07-22,1078.0,440.0,6.0
2020-07-23,1264.0,643.0,6.0
2020-07-24,1594.0,808.0,8.0
2020-07-25,1320.0,728.0,10.0
2020-07-26,1376.0,864.0,11.0
2020-07-27,1503.0,581.0,7.0
2020-07-28,1215.0,687.0,8.0
2020-07-29,1068.0,878.0,6.0
2020-07-30,1203.0,807.0,10.0
2020-07-31,1499.0,772.0,9.0
2020-08-01,1602.0,756.0,11.0
2020-08-02,1434.0,681.0,11.0
2020-08-03,1384.0,1119.0,12.0
2020-08-04,1384.0,1409.0,10.0
2020-08-05,1337.0,1255.0,11.0
2020-08-06,1699.0,1150.0,11.0
2020-08-07,1833.0,1810.0,12.0
2020-08-08,1643.0,1544.0,15.0
2020-08-09,1734.0,1543.0,14.0
2020-08-10,1528.0,1236.0,16.0
2020-08-11,1341.0,1785.0,12.0
2020-08-12,1876.0,1673.0,9.0
2020-08-13,1981.0,1422.0,9.0
2020-08-14,1977.0,1305.0,10.0
2020-08-15,2496.0,1521.0,9.0
2020-08-16,2924.0,1550.0,10.0
2020-08-17,2244.0,1503.0,10.0
2020-08-18,2239.0,1535.0,9.0
2020-08-19,2589.0,1621.0,10.0
2020-08-20,2898.0,1641.0,8.0
2020-08-21,2698.0,1927.0,10.0
2020-08-22,2819.0,1773.0,9.0
2020-08-23,2993.0,2129.0,10.0
2020-08-24,2949.0,2519.0,10.0
2020-08-25,2752.0,2545.0,9.0
2020-08-26,3371.0,3343.0,13.0
2020-08-27,3384.0,2510.0,7.0
2020-08-28,3682.0,2503.0,8.0
2020-08-29,3252.0,2888.0,14.0
2020-08-30,3014.0,2519.0,12.0
2020-08-31,2602.0,4053.0,10.0
2020-09-01,3025.0,3484.0,11.0
2020-09-02,3219.0,3303.0,11.0
2020-09-03,3631.0,3278.0,8.0
2020-09-04,3267.0,2980.0,9.0
2020-09-05,3543.0,3443.0,7.0
2020-09-06,3810.0,2590.0,8.0
2020-09-07,3861.0,3034.0,10.0
