Date,Confirmed,Recovered,Deceased
2020-03-09,1.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,1.0,0.0,0.0
2020-03-20,1.0,0.0,0.0
2020-03-21,10.0,0.0,0.0
2020-03-22,8.0,0.0,0.0
2020-03-23,2.0,0.0,0.0
2020-03-24,6.0,0.0,0.0
2020-03-25,2.0,0.0,0.0
2020-03-26,2.0,0.0,0.0
2020-03-27,5.0,0.0,0.0
2020-03-28,0.0,0.0,0.0
2020-03-29,0.0,1.0,1.0
2020-03-30,3.0,0.0,2.0
2020-03-31,1.0,0.0,1.0
2020-04-01,4.0,0.0,0.0
2020-04-02,1.0,0.0,1.0
2020-04-03,6.0,0.0,0.0
2020-04-04,12.0,2.0,0.0
2020-04-05,3.0,1.0,2.0
2020-04-06,11.0,0.0,0.0
2020-04-07,20.0,10.0,1.0
2020-04-08,7.0,0.0,1.0
2020-04-09,24.0,4.0,1.0
2020-04-10,21.0,2.0,1.0
2020-04-11,7.0,0.0,1.0
2020-04-12,12.0,3.0,0.0
2020-04-13,6.0,2.0,0.0
2020-04-14,8.0,2.0,1.0
2020-04-15,2.0,0.0,0.0
2020-04-16,11.0,2.0,1.0
2020-04-17,14.0,1.0,0.0
2020-04-18,23.0,1.0,2.0
2020-04-19,10.0,6.0,0.0
2020-04-20,1.0,1.0,0.0
2020-04-21,6.0,11.0,0.0
2020-04-22,27.0,4.0,0.0
2020-04-23,5.0,13.0,1.0
2020-04-24,15.0,4.0,0.0
2020-04-25,10.0,2.0,0.0
2020-04-26,14.0,12.0,1.0
2020-04-27,8.0,14.0,1.0
2020-04-28,12.0,3.0,0.0
2020-04-29,33.0,0.0,0.0
2020-04-30,105.0,3.0,1.0
2020-05-01,105.0,4.0,0.0
2020-05-02,187.0,4.0,0.0
2020-05-03,330.0,5.0,1.0
2020-05-04,130.0,11.0,2.0
2020-05-05,219.0,5.0,2.0
2020-05-06,75.0,2.0,2.0
2020-05-07,118.0,14.0,1.0
2020-05-08,87.0,3.0,1.0
2020-05-09,31.0,5.0,2.0
2020-05-10,61.0,9.0,0.0
2020-05-11,54.0,2.0,0.0
2020-05-12,37.0,3.0,1.0
2020-05-13,10.0,29.0,0.0
