Date,Confirmed,Recovered,Deceased
2020-05-04,0.0,0.0,0.0
2020-05-05,0.0,0.0,0.0
2020-05-06,0.0,0.0,0.0
2020-05-07,0.0,0.0,0.0
2020-05-08,0.0,0.0,0.0
2020-05-09,0.0,0.0,0.0
2020-05-10,0.0,0.0,0.0
2020-05-11,0.0,0.0,0.0
2020-05-12,0.0,0.0,0.0
2020-05-13,0.0,0.0,0.0
2020-05-14,0.0,0.0,0.0
2020-05-15,0.0,0.0,0.0
2020-05-16,0.0,0.0,0.0
2020-05-17,0.0,0.0,0.0
2020-05-18,0.0,0.0,0.0
2020-05-19,0.0,0.0,0.0
2020-05-20,0.0,0.0,0.0
2020-05-21,0.0,0.0,0.0
2020-05-22,0.0,0.0,0.0
2020-05-23,1.0,0.0,0.0
2020-05-24,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0
2020-05-26,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0
2020-05-28,0.0,0.0,0.0
2020-05-29,0.0,0.0,0.0
2020-05-30,0.0,0.0,0.0
2020-05-31,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-06-02,0.0,0.0,0.0
2020-06-03,1.0,0.0,0.0
2020-06-04,0.0,0.0,0.0
2020-06-05,1.0,0.0,0.0
2020-06-06,4.0,0.0,0.0
2020-06-07,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0
2020-06-09,6.0,3.0,0.0
2020-06-10,0.0,0.0,0.0
2020-06-11,0.0,0.0,0.0
2020-06-12,50.0,0.0,0.0
2020-06-13,0.0,1.0,0.0
2020-06-14,5.0,0.0,0.0
2020-06-15,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0
2020-06-17,2.0,0.0,0.0
2020-06-18,0.0,1.0,0.0
2020-06-19,0.0,16.0,0.0
2020-06-20,0.0,0.0,0.0
2020-06-21,8.0,4.0,0.0
2020-06-22,0.0,4.0,0.0
2020-06-23,1.0,0.0,0.0
2020-06-24,4.0,10.0,0.0
2020-06-25,2.0,0.0,0.0
2020-06-26,2.0,0.0,0.0
2020-06-27,0.0,10.0,0.0
2020-06-28,1.0,0.0,0.0
2020-06-29,0.0,0.0,0.0
2020-06-30,0.0,1.0,0.0
2020-07-01,1.0,2.0,0.0
2020-07-02,12.0,0.0,0.0
2020-07-03,1.0,0.0,0.0
2020-07-04,1.0,0.0,0.0
2020-07-05,22.0,9.0,0.0
2020-07-06,0.0,4.0,0.0
2020-07-07,2.0,0.0,0.0
2020-07-08,6.0,6.0,0.0
2020-07-09,1.0,0.0,0.0
2020-07-10,-13.0,9.0,0.0
2020-07-11,26.0,0.0,0.0
2020-07-12,4.0,1.0,0.0
2020-07-13,2.0,6.0,0.0
2020-07-14,45.0,-1.0,0.0
2020-07-15,11.0,1.0,0.0
2020-07-16,13.0,0.0,0.0
2020-07-17,32.0,1.0,0.0
2020-07-18,19.0,2.0,0.0
2020-07-19,10.0,0.0,0.0
2020-07-20,22.0,2.0,0.0
2020-07-21,25.0,16.0,0.0
2020-07-22,108.0,4.0,0.0
2020-07-23,22.0,10.0,0.0
2020-07-24,17.0,15.0,0.0
2020-07-25,22.0,5.0,0.0
2020-07-26,46.0,5.0,1.0
2020-07-27,10.0,27.0,0.0
2020-07-28,24.0,12.0,0.0
2020-07-29,17.0,12.0,0.0
2020-07-30,14.0,16.0,0.0
2020-07-31,29.0,17.0,0.0
2020-08-01,11.0,38.0,0.0
2020-08-02,8.0,20.0,0.0
2020-08-03,30.0,8.0,0.0
2020-08-04,95.0,2.0,0.0
2020-08-05,17.0,4.0,0.0
2020-08-06,29.0,50.0,0.0
2020-08-07,25.0,53.0,0.0
2020-08-08,6.0,11.0,0.0
2020-08-09,6.0,80.0,0.0
2020-08-10,44.0,13.0,0.0
2020-08-11,3.0,24.0,0.0
2020-08-12,17.0,16.0,0.0
2020-08-13,1.0,31.0,0.0
2020-08-14,149.0,42.0,0.0
2020-08-15,68.0,38.0,0.0
2020-08-16,19.0,12.0,0.0
2020-08-17,20.0,28.0,0.0
2020-08-18,20.0,54.0,1.0
2020-08-19,25.0,34.0,1.0
2020-08-20,58.0,38.0,0.0
2020-08-21,46.0,7.0,0.0
2020-08-22,45.0,37.0,0.0
2020-08-23,22.0,0.0,0.0
2020-08-24,43.0,63.0,0.0
2020-08-25,29.0,120.0,0.0
2020-08-26,11.0,22.0,0.0
2020-08-27,56.0,75.0,0.0
2020-08-28,34.0,33.0,0.0
2020-08-29,26.0,11.0,0.0
2020-08-30,25.0,25.0,0.0
2020-08-31,25.0,5.0,0.0
2020-09-01,18.0,12.0,1.0
2020-09-02,34.0,23.0,0.0
2020-09-03,34.0,44.0,1.0
2020-09-04,105.0,17.0,0.0
2020-09-05,58.0,26.0,0.0
2020-09-06,9.0,24.0,0.0
2020-09-07,29.0,25.0,0.0
2020-09-08,19.0,17.0,2.0
2020-09-09,31.0,16.0,0.0
2020-09-10,20.0,41.0,0.0
2020-09-11,17.0,16.0,4.0
2020-09-12,29.0,17.0,2.0
2020-09-13,31.0,2.0,3.0
2020-09-14,33.0,16.0,0.0
2020-09-15,54.0,169.0,3.0
2020-09-16,48.0,32.0,0.0
2020-09-17,53.0,67.0,4.0
2020-09-18,29.0,68.0,3.0
2020-09-19,39.0,34.0,2.0
2020-09-20,49.0,3.0,1.0
2020-09-21,56.0,11.0,0.0
2020-09-22,66.0,23.0,0.0
2020-09-23,35.0,14.0,1.0
2020-09-24,64.0,31.0,1.0
2020-09-25,92.0,21.0,0.0
2020-09-26,48.0,22.0,0.0
2020-09-27,38.0,49.0,2.0
2020-09-28,25.0,18.0,2.0
2020-09-29,41.0,71.0,0.0
2020-09-30,75.0,68.0,2.0
2020-10-01,38.0,72.0,3.0
2020-10-02,42.0,34.0,1.0
2020-10-03,39.0,39.0,2.0
2020-10-04,43.0,32.0,2.0
2020-10-05,17.0,67.0,1.0
2020-10-06,25.0,40.0,3.0
2020-10-07,99.0,28.0,2.0
2020-10-08,12.0,35.0,1.0
2020-10-09,33.0,71.0,2.0
2020-10-10,42.0,95.0,1.0
2020-10-11,39.0,104.0,1.0
2020-10-12,7.0,5.0,1.0
2020-10-13,50.0,89.0,2.0
2020-10-14,42.0,61.0,0.0
2020-10-15,41.0,54.0,0.0
2020-10-16,31.0,48.0,0.0
2020-10-17,36.0,56.0,0.0
2020-10-18,30.0,32.0,1.0
2020-10-19,4.0,11.0,2.0
2020-10-20,42.0,50.0,1.0
2020-10-21,34.0,35.0,0.0
2020-10-22,50.0,48.0,0.0
2020-10-23,43.0,55.0,0.0
2020-10-24,49.0,25.0,0.0
2020-10-25,16.0,35.0,1.0
2020-10-26,5.0,5.0,1.0
2020-10-27,23.0,4.0,2.0
2020-10-28,12.0,11.0,0.0
2020-10-29,18.0,13.0,0.0
2020-10-30,20.0,33.0,0.0
2020-10-31,27.0,26.0,1.0
2020-11-01,18.0,34.0,1.0
2020-11-02,9.0,4.0,4.0
2020-11-03,37.0,5.0,0.0
2020-11-04,62.0,79.0,0.0
2020-11-05,29.0,38.0,2.0
2020-11-06,49.0,7.0,0.0
2020-11-07,51.0,19.0,1.0
2020-11-08,50.0,89.0,2.0
2020-11-09,12.0,16.0,1.0
2020-11-10,51.0,13.0,1.0
2020-11-11,36.0,48.0,2.0
2020-11-12,24.0,48.0,3.0
2020-11-13,47.0,17.0,1.0
2020-11-14,41.0,37.0,1.0
2020-11-15,42.0,52.0,2.0
2020-11-16,23.0,12.0,2.0
2020-11-17,27.0,7.0,1.0
2020-11-18,29.0,38.0,3.0
2020-11-19,32.0,36.0,0.0
2020-11-20,23.0,52.0,1.0
2020-11-21,59.0,32.0,0.0
2020-11-22,31.0,41.0,3.0
2020-11-23,14.0,61.0,1.0
2020-11-24,41.0,31.0,2.0
2020-11-25,42.0,44.0,0.0
2020-11-26,52.0,20.0,0.0
2020-11-27,37.0,40.0,1.0
2020-11-28,59.0,31.0,4.0
2020-11-29,19.0,35.0,1.0
2020-11-30,4.0,23.0,1.0
2020-12-01,42.0,5.0,1.0
2020-12-02,40.0,23.0,1.0
2020-12-03,28.0,8.0,0.0
2020-12-04,47.0,7.0,1.0
2020-12-05,21.0,9.0,3.0
2020-12-06,26.0,6.0,0.0
2020-12-07,6.0,17.0,2.0
2020-12-08,13.0,20.0,0.0
2020-12-09,24.0,19.0,0.0
2020-12-10,26.0,27.0,0.0
2020-12-11,27.0,31.0,1.0
2020-12-12,26.0,24.0,0.0
2020-12-13,22.0,30.0,0.0
2020-12-14,2.0,55.0,0.0
2020-12-15,25.0,33.0,1.0
2020-12-16,33.0,19.0,2.0
2020-12-17,8.0,19.0,1.0
2020-12-18,33.0,22.0,1.0
2020-12-19,122.0,25.0,0.0
2020-12-20,12.0,38.0,1.0
2020-12-21,3.0,17.0,0.0
2020-12-22,34.0,16.0,0.0
2020-12-23,22.0,2.0,1.0
