Date,Confirmed,Recovered,Deceased
2020-03-07,1.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,1.0,0.0,0.0
2020-03-19,1.0,0.0,0.0
2020-03-20,0.0,0.0,0.0
2020-03-21,3.0,0.0,0.0
2020-03-22,3.0,0.0,0.0
2020-03-23,3.0,0.0,0.0
2020-03-24,6.0,0.0,0.0
2020-03-25,8.0,0.0,0.0
2020-03-26,3.0,0.0,0.0
2020-03-27,9.0,0.0,0.0
2020-03-28,4.0,0.0,0.0
2020-03-29,8.0,4.0,1.0
2020-03-30,17.0,0.0,0.0
2020-03-31,57.0,2.0,0.0
2020-04-01,110.0,0.0,0.0
2020-04-02,75.0,0.0,0.0
2020-04-03,102.0,0.0,0.0
2020-04-04,74.0,2.0,2.0
2020-04-05,86.0,0.0,2.0
2020-04-06,50.0,5.0,1.0
2020-04-07,69.0,6.0,1.0
2020-04-08,48.0,2.0,1.0
2020-04-09,96.0,6.0,0.0
2020-04-10,77.0,17.0,1.0
2020-04-11,58.0,0.0,1.0
2020-04-12,106.0,6.0,1.0
2020-04-13,98.0,8.0,0.0
2020-04-14,31.0,23.0,1.0
2020-04-15,38.0,37.0,2.0
2020-04-16,25.0,62.0,1.0
2020-04-17,56.0,103.0,0.0
2020-04-18,49.0,82.0,0.0
2020-04-19,105.0,46.0,0.0
2020-04-20,43.0,46.0,2.0
2020-04-21,76.0,178.0,1.0
2020-04-22,33.0,27.0,0.0
2020-04-23,54.0,90.0,2.0
2020-04-24,72.0,114.0,2.0
2020-04-25,66.0,94.0,1.0
2020-04-26,64.0,60.0,1.0
2020-04-27,52.0,54.0,0.0
2020-04-28,121.0,54.0,1.0
2020-04-29,104.0,82.0,2.0
2020-04-30,161.0,48.0,0.0
2020-05-01,203.0,54.0,1.0
2020-05-02,231.0,29.0,1.0
2020-05-03,266.0,38.0,1.0
2020-05-04,527.0,30.0,1.0
2020-05-05,508.0,76.0,2.0
2020-05-06,771.0,31.0,2.0
2020-05-07,580.0,31.0,2.0
2020-05-08,600.0,58.0,3.0
2020-05-09,526.0,219.0,4.0
2020-05-10,669.0,135.0,3.0
2020-05-11,798.0,92.0,6.0
2020-05-12,716.0,83.0,8.0
2020-05-13,509.0,41.0,3.0
2020-05-14,447.0,65.0,2.0
2020-05-15,434.0,359.0,5.0
2020-05-16,477.0,939.0,4.0
2020-05-17,639.0,634.0,4.0
2020-05-18,536.0,234.0,3.0
2020-05-19,688.0,489.0,3.0
2020-05-20,743.0,987.0,3.0
2020-05-21,776.0,400.0,7.0
2020-05-22,786.0,846.0,4.0
2020-05-23,759.0,363.0,5.0
2020-05-24,765.0,833.0,8.0
2020-05-25,805.0,407.0,7.0
2020-05-26,646.0,611.0,11.0
2020-05-27,817.0,567.0,6.0
2020-05-28,827.0,639.0,12.0
2020-05-29,874.0,765.0,9.0
2020-05-30,938.0,687.0,6.0
2020-05-31,1149.0,757.0,13.0
2020-06-01,1162.0,413.0,11.0
2020-06-02,1091.0,536.0,13.0
2020-06-03,1286.0,610.0,8.0
2020-06-04,1384.0,585.0,15.0
2020-06-05,1438.0,861.0,12.0
2020-06-06,1458.0,633.0,19.0
2020-06-07,1515.0,604.0,18.0
2020-06-08,1562.0,528.0,17.0
2020-06-09,1685.0,798.0,18.0
2020-06-10,1927.0,1008.0,19.0
2020-06-11,1875.0,1372.0,23.0
2020-06-12,1982.0,1342.0,18.0
2020-06-13,1989.0,1362.0,30.0
2020-06-14,1974.0,1138.0,38.0
2020-06-15,1843.0,797.0,44.0
2020-06-16,1515.0,1438.0,49.0
2020-06-17,2174.0,842.0,48.0
2020-06-18,2141.0,1017.0,49.0
2020-06-19,2115.0,1630.0,41.0
2020-06-20,2396.0,1045.0,38.0
2020-06-21,2532.0,1438.0,53.0
2020-06-22,2710.0,1358.0,37.0
2020-06-23,2516.0,1227.0,39.0
2020-06-24,2865.0,2424.0,33.0
2020-06-25,3509.0,2236.0,45.0
2020-06-26,3645.0,1358.0,46.0
