Date,Confirmed,Recovered,Deceased
2020-04-06,1.0,0.0,0.0
2020-04-07,0.0,0.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0
2020-04-10,1.0,0.0,0.0
2020-04-11,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,0.0,0.0,0.0
2020-04-15,0.0,1.0,0.0
2020-04-16,0.0,0.0,0.0
2020-04-17,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,0.0,1.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,0.0,0.0,0.0
2020-04-26,0.0,0.0,0.0
2020-04-27,0.0,0.0,0.0
2020-04-28,0.0,0.0,0.0
2020-04-29,0.0,0.0,0.0
2020-04-30,1.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-05-02,2.0,0.0,0.0
2020-05-03,12.0,0.0,0.0
2020-05-04,13.0,0.0,0.0
2020-05-05,13.0,0.0,0.0
2020-05-06,22.0,0.0,0.0
2020-05-07,24.0,0.0,0.0
2020-05-08,30.0,0.0,0.0
2020-05-09,17.0,0.0,0.0
2020-05-10,16.0,0.0,0.0
2020-05-11,0.0,0.0,0.0
2020-05-12,2.0,0.0,0.0
2020-05-13,1.0,0.0,0.0
2020-05-14,1.0,27.0,0.0
2020-05-15,0.0,13.0,0.0
2020-05-16,11.0,22.0,0.0
2020-05-17,-2.0,21.0,0.0
2020-05-18,0.0,4.0,0.0
2020-05-19,8.0,27.0,0.0
2020-05-20,0.0,0.0,0.0
2020-05-21,2.0,32.0,0.0
2020-05-22,0.0,4.0,0.0
2020-05-23,16.0,0.0,0.0
2020-05-24,3.0,13.0,0.0
2020-05-25,4.0,0.0,0.0
2020-05-26,34.0,0.0,0.0
2020-05-27,10.0,0.0,0.0
2020-05-28,2.0,2.0,0.0
2020-05-29,10.0,0.0,0.0
2020-05-30,17.0,5.0,0.0
2020-05-31,45.0,1.0,0.0
2020-06-01,107.0,0.0,0.0
2020-06-02,48.0,0.0,0.0
2020-06-03,151.0,0.0,0.0
2020-06-04,24.0,0.0,0.0
2020-06-05,48.0,0.0,0.0
2020-06-06,55.0,0.0,0.0
2020-06-07,53.0,19.0,0.0
2020-06-08,38.0,0.0,0.0
2020-06-09,26.0,0.0,1.0
2020-06-10,31.0,47.0,0.0
2020-06-11,25.0,39.0,0.0
2020-06-12,41.0,0.0,0.0
2020-06-13,83.0,37.0,0.0
2020-06-14,33.0,118.0,0.0
2020-06-15,10.0,0.0,0.0
2020-06-16,1.0,123.0,0.0
2020-06-17,43.0,0.0,0.0
2020-06-18,21.0,83.0,0.0
2020-06-19,27.0,18.0,0.0
2020-06-20,8.0,23.0,0.0
2020-06-21,35.0,79.0,0.0
2020-06-22,16.0,23.0,0.0
2020-06-23,23.0,25.0,0.0
2020-06-24,0.0,97.0,0.0
2020-06-25,32.0,122.0,0.0
2020-06-26,35.0,36.0,0.0
2020-06-27,9.0,16.0,0.0
2020-06-28,12.0,8.0,0.0
2020-06-29,34.0,6.0,0.0
2020-06-30,8.0,0.0,0.0
